,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,0,0,0,50,1,1,1,1,0,1,1,1,1,109.65,5551.15,0,1,0,0,0,1,0,0,1,0
1,1,0,0,0,12,1,0,1,0,0,1,1,1,1,98.9,1120.95,0,1,0,1,0,0,1,0,0,0
2,1,1,1,0,52,1,1,0,1,1,0,1,1,1,106.5,5621.85,0,1,0,0,1,0,0,0,1,0
3,0,0,0,0,9,1,0,0,0,0,0,0,0,1,19.9,164.6,0,0,1,0,1,0,0,0,1,0
4,1,0,1,1,62,1,1,1,0,0,0,1,1,1,101.15,6638.35,0,1,0,0,0,1,1,0,0,0
5,0,1,0,0,1,1,0,0,0,0,0,0,0,1,69.5,69.5,0,1,0,1,0,0,1,0,0,0
6,0,0,1,1,60,1,0,0,1,0,1,1,1,0,76.95,4543.95,1,0,0,0,0,1,1,0,0,0
7,0,0,1,0,58,1,0,0,0,0,0,0,0,0,20.75,1185.95,0,0,1,0,0,1,0,0,0,1
8,1,0,1,0,70,1,1,1,1,1,1,1,1,1,94.8,6859.05,1,0,0,0,0,1,0,1,0,0
9,1,0,0,0,9,1,0,0,0,0,1,1,0,1,59.5,530.05,1,0,0,1,0,0,1,0,0,0
10,1,0,1,1,10,1,1,0,0,0,0,0,0,0,26.1,225.55,0,0,1,0,0,1,0,1,0,0
11,0,0,0,0,55,1,1,0,0,0,0,1,1,1,96.8,5283.95,0,1,0,1,0,0,0,0,1,0
12,1,0,1,1,36,1,0,0,0,0,0,0,0,0,20.25,717.95,0,0,1,0,0,1,1,0,0,0
13,1,0,0,0,70,1,1,1,1,1,0,1,1,0,84.7,5991.05,1,0,0,0,0,1,0,0,0,1
14,1,0,1,1,1,1,0,0,0,0,0,0,0,1,19.4,19.4,0,0,1,1,0,0,0,0,0,1
15,0,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,0,1,0,1,0,0,0,0,1,0
16,0,1,0,0,1,0,0,0,1,1,0,0,1,1,43.3,43.3,1,0,0,1,0,0,0,0,1,0
17,0,0,1,1,64,1,0,1,0,1,0,1,1,1,73.05,4688.65,1,0,0,0,1,0,0,1,0,0
18,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.6,116.6,0,0,1,0,1,0,0,0,0,1
19,1,1,0,0,56,1,1,0,1,1,0,1,1,1,104.75,5510.65,0,1,0,0,1,0,1,0,0,0
20,1,1,0,0,31,1,1,0,1,0,0,1,1,1,99.95,3186.65,0,1,0,1,0,0,0,0,1,0
21,0,0,0,0,23,1,1,0,0,1,0,0,0,1,81.0,1917.1,0,1,0,1,0,0,0,0,1,0
22,0,0,0,0,50,1,1,0,0,1,1,0,1,0,69.5,3418.2,1,0,0,0,0,1,1,0,0,0
23,0,0,1,0,2,1,0,0,0,0,1,1,1,1,94.2,167.5,0,1,0,1,0,0,0,0,1,0
24,0,0,1,0,8,1,0,1,0,0,0,0,0,0,75.0,632.95,0,1,0,1,0,0,0,0,1,0
25,0,0,1,1,1,1,1,0,0,0,0,0,0,1,74.5,74.5,0,1,0,1,0,0,0,0,1,0
26,0,0,0,0,66,1,0,0,0,0,0,0,0,0,19.7,1253.8,0,0,1,0,0,1,1,0,0,0
27,1,0,0,0,11,1,1,1,0,0,0,0,0,1,79.0,929.3,0,1,0,1,0,0,1,0,0,0
28,1,1,1,0,72,1,1,0,1,1,1,1,1,1,110.8,7882.25,0,1,0,0,0,1,0,1,0,0
29,0,0,1,1,68,1,1,1,1,1,1,1,1,1,113.15,7856.0,0,1,0,0,0,1,0,0,1,0
30,0,0,1,1,65,1,0,0,0,0,0,0,0,0,19.9,1292.6,0,0,1,0,0,1,0,0,0,1
31,1,0,1,0,14,1,0,0,0,0,0,0,1,1,78.1,1122.4,0,1,0,1,0,0,0,0,1,0
32,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20.2,20.2,0,0,1,1,0,0,0,0,0,1
33,1,0,0,0,7,1,0,0,0,0,0,1,1,1,66.85,458.1,1,0,0,1,0,0,0,0,1,0
