,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,19.45,86.05,0,0,1,1,0,0,0,0,0,1
1,0,0,1,1,32,1,0,1,1,0,0,0,1,1,90.8,3023.85,0,1,0,0,1,0,0,0,1,0
2,1,0,1,0,18,1,0,1,0,0,0,0,0,0,74.8,1438.05,0,1,0,1,0,0,0,0,1,0
3,0,0,0,0,72,1,1,1,1,1,1,1,1,0,113.4,8164.1,0,1,0,0,0,1,1,0,0,0
4,1,0,1,1,67,1,0,0,1,0,0,0,0,0,50.55,3431.75,1,0,0,0,1,0,0,1,0,0
5,1,0,1,0,20,1,0,0,0,0,0,0,0,1,20.0,416.45,0,0,1,0,1,0,0,0,0,1
6,1,0,0,0,11,1,0,0,0,0,1,1,1,0,70.5,829.3,1,0,0,1,0,0,0,0,0,1
7,1,0,0,0,33,1,1,0,1,0,0,1,1,1,100.0,3320.6,0,1,0,1,0,0,0,0,1,0
8,1,0,1,0,59,1,1,1,1,1,1,0,1,1,107.0,6152.3,0,1,0,0,1,0,0,1,0,0
9,0,0,1,1,31,1,1,1,0,1,1,0,0,0,89.3,2823.0,0,1,0,1,0,0,0,0,1,0
10,0,0,0,0,4,1,0,0,1,0,1,1,0,1,63.75,226.2,1,0,0,1,0,0,1,0,0,0
11,0,0,0,0,67,1,0,0,0,0,0,0,0,1,19.45,1195.95,0,0,1,0,1,0,0,0,0,1
12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.1,19.1,0,0,1,1,0,0,0,0,0,1
13,0,0,1,1,34,1,0,0,0,0,0,0,0,0,20.8,635.9,0,0,1,1,0,0,0,0,0,1
14,0,0,1,1,72,0,0,1,1,1,1,1,1,1,65.25,4478.85,1,0,0,0,0,1,0,1,0,0
15,0,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,1,0,0,0,0,1,1,0,0,0
16,0,0,1,1,57,1,0,0,1,1,0,1,1,1,97.55,5598.0,0,1,0,0,1,0,0,1,0,0
17,1,0,1,1,54,1,0,1,0,1,1,0,1,0,69.95,3871.85,1,0,0,0,0,1,1,0,0,0
18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20.45,20.45,0,0,1,1,0,0,0,0,0,1
19,0,0,1,0,3,0,0,0,1,0,0,0,0,0,29.8,94.4,1,0,0,1,0,0,0,1,0,0
20,1,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,1,0,0,1,0,0,0,0,1,0
21,0,0,1,1,5,1,0,0,0,0,0,0,0,0,19.45,86.05,0,0,1,1,0,0,0,0,0,1
22,0,0,1,1,65,1,1,0,0,1,1,1,1,1,104.1,6700.05,0,1,0,0,0,1,1,0,0,0
23,0,0,1,1,46,1,1,0,1,0,0,0,0,1,80.0,3769.7,0,1,0,1,0,0,1,0,0,0
24,0,0,0,0,22,1,0,1,0,0,1,0,0,0,55.1,1253.15,1,0,0,1,0,0,0,0,0,1
25,0,0,1,0,19,1,1,1,1,0,1,0,0,1,88.8,1672.35,0,1,0,1,0,0,0,1,0,0
26,1,0,1,1,69,0,0,0,1,1,0,1,1,1,54.95,3772.5,1,0,0,0,0,1,0,1,0,0
27,0,0,0,0,27,1,0,0,0,0,0,0,0,1,69.05,1793.25,0,1,0,1,0,0,0,0,0,1
28,1,0,1,1,37,1,0,0,0,0,0,0,0,0,19.35,683.75,0,0,1,1,0,0,0,0,1,0
29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.55,19.55,0,0,1,1,0,0,0,1,0,0
30,1,0,0,1,8,0,0,1,0,0,0,0,1,1,38.5,330.8,1,0,0,1,0,0,0,0,1,0
31,1,0,1,1,45,1,0,1,0,1,1,1,1,1,81.0,3533.6,1,0,0,0,0,1,0,0,0,1
32,0,0,0,0,59,0,0,0,0,0,1,1,1,1,51.7,3005.8,1,0,0,1,0,0,0,0,1,0
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,43.8,43.8,1,0,0,1,0,0,0,0,1,0
34,0,0,1,0,68,0,0,1,0,1,0,1,1,1,54.1,3794.5,1,0,0,0,0,1,1,0,0,0
35,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.9,19.9,0,0,1,1,0,0,0,0,0,1
