,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,5.482547950744629,1.0764245124816947,0.13644323348999024,0.035123622749475066,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8071065989847716,0.8010152284263959,0.7896341463414634,0.8028455284552846,0.7987804878048781,0.7998763980025587,0.005805053227548251,1
30,2.4997732162475588,0.09278214491546466,0.0788184642791748,0.02566805079159853,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8081218274111676,0.8010152284263959,0.7886178861788617,0.8008130081300813,0.8008130081300813,0.7998761916553175,0.006289556521726997,2
33,5.085629606246949,1.2628188778081761,0.12503390312194823,0.03782240597364006,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8040609137055837,0.7979695431472081,0.7926829268292683,0.7967479674796748,0.7967479674796748,0.797641863728282,0.0036742545526305794,3
39,1.3380120754241944,0.1557327325480089,0.03351249694824219,0.003172417167873944,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7898477157360406,0.7947154471544715,0.790650406504065,0.8099593495934959,0.7956132640006602,0.007374081677184747,4
27,1.3306302070617675,0.149835250381709,0.03520979881286621,0.00228636737861165,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8040609137055837,0.7959390862944162,0.7876016260162602,0.7886178861788617,0.7947154471544715,0.7941869918699187,0.005919888747293228,5
36,0.5868873119354248,0.023253219183897902,0.019798707962036134,0.005231754750561997,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7949238578680203,0.7868020304568528,0.7876016260162602,0.7947154471544715,0.8028455284552846,0.7933776979901779,0.0058381916355516005,6
42,2.398226737976074,0.17992523360402288,0.06151070594787598,0.006449377861198036,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.798984771573604,0.7898477157360406,0.7896341463414634,0.7845528455284553,0.8028455284552846,0.7931730015269696,0.006711520830750593,7
18,2.535530853271484,0.1609415826413088,0.08322882652282715,0.024378075383187148,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8010152284263959,0.7939086294416243,0.7876016260162602,0.7865853658536586,0.7947154471544715,0.7927652593784821,0.005254078610604377,8
45,5.883066177368164,0.27509259853065055,0.13354082107543946,0.015459286714433189,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7847715736040609,0.7868020304568528,0.7835365853658537,0.7865853658536586,0.806910569105691,0.7897212248772234,0.008678452356219555,9
9,6.49512505531311,0.5323894079699764,0.1526519775390625,0.02341141730002285,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7939086294416243,0.7898477157360406,0.774390243902439,0.7815040650406504,0.7886178861788617,0.7856537080599233,0.006908037946342248,10
24,0.7225407123565674,0.14175671441285737,0.03221220970153808,0.016628027355342915,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7949238578680203,0.7857868020304568,0.774390243902439,0.7804878048780488,0.7916666666666666,0.7854510750691263,0.0074223438689217216,11
15,1.3708696365356445,0.05689617515008869,0.04090967178344727,0.010889226128544897,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.7857868020304568,0.7754065040650406,0.7804878048780488,0.7886178861788617,0.7838262968924105,0.0051750032070663286,12
6,2.742983865737915,0.29987494780934376,0.07912044525146485,0.016024149866008527,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7898477157360406,0.7868020304568528,0.7784552845528455,0.7794715447154471,0.782520325203252,0.7834193801328876,0.004331322454366097,13
12,0.6102967739105225,0.039680722945994056,0.018400955200195312,0.002417839913967053,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7908629441624365,0.7878172588832487,0.7794715447154471,0.7784552845528455,0.7754065040650406,0.7824027072758037,0.0058993846588077685,14
3,1.2089621067047118,0.10991531632281284,0.04010767936706543,0.01235919038299695,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7776649746192893,0.7652439024390244,0.7693089430894309,0.7977642276422764,0.7803720440757708,0.012597302413038672,15
0,0.6900285243988037,0.15301650238896689,0.02760739326477051,0.013084369858155177,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7888324873096447,0.7725888324873097,0.7621951219512195,0.7693089430894309,0.7957317073170732,0.7777314184309356,0.01253798165260841,16
35,0.0011989593505859375,0.0004002109750494799,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.001599884033203125,0.0013590795467971564,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
38,0.000800466537475586,0.0004002429370220245,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
40,0.0008023262023925781,0.0004011985095961483,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
32,0.0009993553161621095,4.0757724087444495e-06,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
41,0.0009013175964355469,0.0004910773308419113,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
31,0.001001262664794922,0.0006337671640043034,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
43,0.0010000228881835937,0.0006321099231570254,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.001199960708618164,0.00039911404020387983,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.001000213623046875,2.1292794763342004e-06,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
28,0.0010000228881835937,1.4588411846903187e-06,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
37,0.0010000705718994141,2.125003810420722e-06,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.0010030746459960937,5.883482671809075e-06,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0006003379821777344,0.0004901755874851462,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0014086246490478515,0.00037391456893568343,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.0014003753662109376,0.0004904486934672838,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0009990215301513671,9.584308262940304e-07,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.0013997554779052734,0.00049137258222201,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.001001453399658203,1.5495373543998643e-06,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.0010001182556152344,1.401609273595721e-06,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0010008811950683594,0.0006340711339491125,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.0016005516052246093,0.0004889477943140267,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.001399087905883789,0.0004887793326993897,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.001202535629272461,0.0004008135110633357,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.004799985885620117,0.007598686408271251,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.000800323486328125,0.0004001654080658576,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
