,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,6.3537139892578125,0.19557941830001654,0.18705520629882813,0.03559216225464311,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.845786756593601,0.8351677803451363,0.8416498165596598,0.85639279162845,0.8407247217129216,0.8439443733679537,0.007085438955390268,1
33,6.005225467681885,0.12545420158792703,0.12563929557800294,0.005066582652929156,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8482456962051667,0.836513041487125,0.8387757441841074,0.8532503335278913,0.8382382900036043,0.8430046210815789,0.006560265381424373,2
30,2.5751317977905273,0.22575076963398374,0.07851481437683105,0.015158964041721686,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8452143050438186,0.8347696663127876,0.839732031184858,0.854250917201701,0.8398262631961095,0.842758636587855,0.006628508449160686,3
18,2.5009404182434083,0.16770601568148694,0.06781830787658691,0.004768556101566736,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8430259788921501,0.8299168384021317,0.8418165805052948,0.8512804344200783,0.8425451449286718,0.8417169954296654,0.006828063527572857,4
27,1.2788506031036377,0.127487849368071,0.039008474349975585,0.002661922974514255,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8433043985095443,0.8294250504798185,0.841751438339031,0.8507071833569582,0.8421873286007553,0.8414750798572215,0.0068463862298441,5
36,0.6999962329864502,0.08805494862625474,0.019907236099243164,0.0019053743814153852,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8418550552675951,0.8243354357917525,0.8417931293254398,0.8435154882014508,0.8324035332403533,0.8367805283653184,0.007352211791702549,6
9,6.362519836425781,0.49109266786161954,0.17395858764648436,0.02694970830840608,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8370880950894065,0.8287042819375924,0.8342809347119153,0.8439845117985492,0.837125664049645,0.8362366975174217,0.004941782230622773,7
15,1.3311735153198243,0.2269837702115894,0.04091553688049317,0.00797722486330767,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8373300859718145,0.8278404005079207,0.8346978445760026,0.8433904152422246,0.8377028714107366,0.8361923235417397,0.005047313504871209,8
42,2.510276174545288,0.07041061375591678,0.06471824645996094,0.005437911016406136,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8415089822852266,0.828407647952705,0.8323839948303176,0.8426034978737598,0.834354546356803,0.8358517338597624,0.005427190367678847,9
24,0.6654735565185547,0.0777374551097044,0.020904159545898436,0.004382063687134997,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8370724827744124,0.8280745852328316,0.8342001584257484,0.8425878637538564,0.8366999409733649,0.8357270062320428,0.004705721760672195,10
