,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,5.572319221496582,1.2408323019418088,0.12953858375549315,0.04281687126850929,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7878172588832487,0.8040609137055837,0.7865853658536586,0.7886178861788617,0.7957317073170732,0.7925626263876853,0.006573595922185359,1
30,2.719260263442993,0.21851223762793237,0.06911931037902833,0.004594017080779074,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7898477157360406,0.8030456852791878,0.7876016260162602,0.7835365853658537,0.7926829268292683,0.7913429078453221,0.006571485530160044,2
33,5.124239349365235,1.3109879079111926,0.12593016624450684,0.03770548133324086,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7878172588832487,0.7969543147208121,0.7896341463414634,0.7886178861788617,0.7916666666666666,0.7909380545582105,0.0032725826357721424,3
18,2.9025813579559325,0.2625612507377446,0.08632583618164062,0.01589007250222863,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7878172588832487,0.8,0.7835365853658537,0.7876016260162602,0.7936991869918699,0.7905309314514465,0.005737017145724397,4
36,0.6956919193267822,0.06989872145790159,0.023311948776245116,0.007111509483062315,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7868020304568528,0.7979695431472081,0.7804878048780488,0.7845528455284553,0.7977642276422764,0.7895152903305683,0.007113402682428947,5
9,6.472530698776245,0.5447359280728056,0.16044893264770507,0.026353943999793385,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7918781725888325,0.7979695431472081,0.7815040650406504,0.7855691056910569,0.790650406504065,0.7895142585943626,0.005623134188581214,6
15,1.4112826824188232,0.16905801983779084,0.03991599082946777,0.009462219423322126,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7939086294416243,0.7815040650406504,0.7876016260162602,0.790650406504065,0.7891085799182864,0.004317126470115804,7
24,0.7767207622528076,0.16936405195164542,0.021602392196655273,0.002246542174511874,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7918781725888325,0.7939086294416243,0.7815040650406504,0.7845528455284553,0.7926829268292683,0.7889053278857661,0.004936879180991667,8
27,1.3974937915802002,0.1896201967788354,0.03260550498962402,0.0008036635673721315,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.8,0.7835365853658537,0.782520325203252,0.7896341463414634,0.7889047088440427,0.006216427993599213,9
39,1.2236493587493897,0.06277025575921934,0.0337982177734375,0.002636505026090305,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7847715736040609,0.7979695431472081,0.782520325203252,0.7855691056910569,0.7886178861788617,0.787889686764888,0.005405026343288854,10
