,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,2.671761131286621,0.37586665808796044,0.08183064460754394,0.028753404913423375,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7949238578680203,0.8040609137055837,0.7967479674796748,0.7987804878048781,0.7947154471544715,0.7978457348025257,0.0034363751438834197,1
21,5.5603564262390135,1.3595792408815344,0.14838337898254395,0.07782992225232363,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7959390862944162,0.8040609137055837,0.7947154471544715,0.8028455284552846,0.790650406504065,0.7976422764227642,0.005072004878179343,2
33,5.116655921936035,1.315515595500226,0.11776061058044433,0.037425989402371664,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7979695431472081,0.8020304568527918,0.7987804878048781,0.7936991869918699,0.7957317073170732,0.7976422764227642,0.00282336624310168,2
27,1.3050716876983643,0.12702353198968633,0.03481478691101074,0.0021591093346222845,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7868020304568528,0.7979695431472081,0.7987804878048781,0.7947154471544715,0.7987804878048781,0.7954095992736578,0.004557437431631009,4
18,2.758613872528076,0.21342217880803874,0.07482318878173828,0.008890246741385818,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7959390862944162,0.8010152284263959,0.7865853658536586,0.7886178861788617,0.7957317073170732,0.7935778548140812,0.005273048675700213,5
36,0.8168417930603027,0.1764969349231661,0.02980527877807617,0.008958526311814744,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8,0.7857868020304568,0.7784552845528455,0.7957317073170732,0.7916666666666666,0.7903280921134084,0.007564701134325073,6
39,1.347790813446045,0.16276396862856352,0.03431100845336914,0.002232914598331263,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7847715736040609,0.7855691056910569,0.7926829268292683,0.7916666666666666,0.7895167347612563,0.003581876158769235,7
15,1.3233983993530274,0.08116254321067452,0.037801074981689456,0.0028592225664563335,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7908629441624365,0.782520325203252,0.7896341463414634,0.7916666666666666,0.7893124509925302,0.0034861367860401413,8
24,0.7003944396972657,0.06251111360202743,0.022213220596313477,0.0038484424643336237,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7857868020304568,0.7918781725888325,0.782520325203252,0.7886178861788617,0.7916666666666666,0.788093970533614,0.003570640817215072,9
9,6.281985902786255,0.5819477793826144,0.17935266494750976,0.05002949739786165,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7868020304568528,0.7908629441624365,0.7784552845528455,0.7896341463414634,0.7916666666666666,0.7874842144360529,0.004806617901197658,10
