,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,1.3865540027618408,0.16987135467402606,0.037427520751953124,0.005352653143462427,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8384411623888924,0.8313349570140927,0.852723984824481,0.8542952138747603,0.8483302775296571,0.8450251191263766,0.008796593508102007,1
30,2.7264517307281495,0.1814882522822907,0.07942638397216797,0.01459236482207298,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8406945398530361,0.8354488020150296,0.8512856457933794,0.8516348078045527,0.845757656485878,0.8449642903903751,0.006226717516282139,2
18,2.8050658226013185,0.01999404564032547,0.0950289249420166,0.029881728861427287,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.838828868211245,0.8314338350090552,0.8509521179021096,0.8540685191361628,0.8488212955562868,0.8448209271629719,0.008417023360820293,3
21,5.687868356704712,1.3138015356642363,0.13345465660095215,0.043884114527174396,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8416338808051791,0.8361981931347446,0.8480832568998583,0.8515488201450845,0.8424119432299584,0.8439752188429651,0.005341221520889664,4
33,5.164713335037232,1.2885880275275239,0.12816147804260253,0.04095368668917951,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8422427610899479,0.835154770082641,0.8450632660718752,0.8457537730342699,0.8362245937348189,0.8408878328027107,0.004417267362124963,5
24,0.6555008888244629,0.04360141955014939,0.021602487564086913,0.004586585823098471,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8319126126688733,0.8224073148899852,0.8465016051029767,0.8475881764362545,0.8447782322306322,0.8386375882657443,0.009882412340600355,6
15,1.3295365810394286,0.05766068276808535,0.04931325912475586,0.009085856353673085,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8323497574887071,0.8222433855825475,0.8465485074626866,0.8472077461852748,0.8442062484655687,0.8385111290369569,0.009749532948229023,7
9,6.662342119216919,0.6149087732038593,0.15694847106933593,0.03179615561977645,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.831847561356398,0.8228991028122984,0.8457407446010172,0.8471243642124573,0.844603241763695,0.8384430029491732,0.009504570375577157,8
36,0.7273276805877685,0.10372088075129728,0.02080078125,0.005151079241878167,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8374029434417869,0.8178537230167156,0.8376292420578672,0.8429787167514384,0.8293216115838465,0.833037247370331,0.008755842528835472,9
12,0.6338735103607178,0.015693217809058923,0.020510244369506835,0.002149549125846192,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8214627698328442,0.8172370365744499,0.8368761986158593,0.837360856332861,0.8302252936966865,0.8286324310105403,0.008098658904186479,10
