,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,5.558787107467651,1.118818550084302,0.133475923538208,0.046902697780081645,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.845331397406274,0.8373430962343097,0.8425618068873509,0.8551186108563329,0.8404609301135086,0.8441631682995553,0.0060691150886187884,1
30,2.433887767791748,0.07344330863627861,0.07212247848510742,0.008879848017510452,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8457034909136326,0.8360524781948,0.8398831610105895,0.8535004794463437,0.8402598216664315,0.8430798862463593,0.006050261886576316,2
18,2.6137178421020506,0.1507518479826162,0.07342171669006348,0.003348398989188434,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8433798580320157,0.8317851120964217,0.8413892478946051,0.8528829317101643,0.8446319715418488,0.8428138242550111,0.006762764056514343,3
27,1.4215041637420653,0.19584766808947268,0.04681186676025391,0.01910119217716225,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8426877120672785,0.8333099148608423,0.8409019844909531,0.8527760985574919,0.8439058916939599,0.8427163203341053,0.006235179465516936,4
33,5.198582792282105,1.327584565678381,0.11461706161499023,0.03159245087511413,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8464424738233518,0.8362216116072358,0.8404199324606021,0.8539903485366465,0.8338034569758512,0.8421755646807375,0.007299583827989455,5
9,6.4950731754302975,0.4047289975880974,0.2334118366241455,0.08560071150151763,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8417743916401257,0.8271586627531797,0.8329233719669807,0.8470722504794463,0.8401866913220399,0.8378230736323544,0.006992619119326293,6
15,1.2314239501953126,0.08847498771256672,0.03620905876159668,0.003890106929310688,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8413554611877849,0.8269088657132746,0.8325559701492538,0.8471295755857584,0.8407221099149076,0.8377343965101959,0.007131846146134345,7
24,0.7245914936065674,0.15318124743909425,0.029616069793701173,0.011854761188795238,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8408766835279669,0.8267839671933221,0.8320113816392896,0.8470696447927959,0.8404739891035786,0.8374431332513905,0.007166126230877732,8
36,0.6990967750549316,0.08307934542027372,0.02170085906982422,0.003598914165348433,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8426955182247757,0.8172864755719312,0.8385229925790043,0.8465276619694821,0.8311812117698065,0.835242772023,0.010320628545561704,9
39,1.327780294418335,0.08446347228171396,0.043612003326416016,0.010343432334538643,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8382460084514665,0.8183741335165178,0.8310629116984907,0.8461811056449596,0.8227398805885948,0.831320807980006,0.010100515366189696,10
42,2.396893548965454,0.16604748613190362,0.06963639259338379,0.016358020990373656,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8324564416411666,0.8158865713274632,0.8338900817143333,0.8452117902109564,0.8206086534091799,0.82961070766062,0.010384545437899417,11
12,0.7099761009216309,0.08835671616376287,0.028715753555297853,0.0158216448438438,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8344444097504111,0.8211297071129707,0.8177270074209955,0.8298486617193362,0.8338791991182571,0.8274057970243941,0.006789445698385129,12
6,2.960520315170288,0.22691345487728087,0.08713107109069824,0.029252082916613492,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8331017506609214,0.8180748974791315,0.8154287917952138,0.825348640873843,0.8319673629720172,0.8247842887562253,0.00712230967783546,13
45,6.007014513015747,0.23983825829922137,0.13893499374389648,0.017283944864034274,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8234403297320927,0.8061887216636483,0.8326732260485283,0.8364983740515299,0.8161268080171752,0.822985491902595,0.011007543680626595,14
3,1.2794862747192384,0.14597464046902686,0.036311769485473634,0.0018579001159046563,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8248246216615667,0.8083510272903266,0.807700325189694,0.8148555407320938,0.8229671070158118,0.8157397243778985,0.007138304884611139,15
0,0.6271998405456543,0.06585041923332884,0.020507955551147462,0.002369081511157963,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8185016340889693,0.7959964820250213,0.8037761610939715,0.8099829066955725,0.805008383871625,0.8066531135550319,0.007429949501349577,16
35,0.0018009662628173829,0.00039837703903687833,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.0007999420166015625,0.0007481498486897601,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
38,0.0009999275207519531,0.0006320329485995473,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
40,0.0011997222900390625,0.00040185500662362527,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
32,0.0008007526397705078,0.0004003765860882475,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
41,0.002402210235595703,0.0012017037883465984,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
31,0.0010001182556152344,1.0598235497900424e-06,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
43,0.001199054718017578,0.0007487005672195197,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.0013992786407470703,0.0008001352095310433,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.001000690460205078,2.366957406232997e-06,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
28,0.001200103759765625,0.00039976139060408624,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
