,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,7.6370820045471195,0.1786397488854929,0.006199932098388672,0.0004002571958060511,mle,0.001,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8030456852791878,0.7928934010152284,0.7845528455284553,0.7865853658536586,0.8079268292682927,0.7950008253889645,0.009123845974025732,1
17,0.7507596492767334,0.02428669432813989,0.005302572250366211,0.00040094422520520743,mle,0.01,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8020304568527918,0.7898477157360406,0.7876016260162602,0.7865853658536586,0.8079268292682927,0.7947983987454088,0.008583880960474589,2
23,7.612870407104492,0.03032104742865227,0.006103372573852539,0.00048686168090449414,mle,0.01,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.7969543147208121,0.798984771573604,0.7886178861788617,0.7936991869918699,0.7957317073170732,0.7947975733564443,0.0035341690592732614,3
1,0.7627409934997559,0.044361440111721995,0.007599687576293946,0.0032619864997437387,mle,0.001,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7979695431472081,0.7918781725888325,0.7896341463414634,0.7967479674796748,0.7967479674796748,0.7945955594073708,0.0032449745154083205,4
33,0.8316612720489502,0.09011286296798372,0.005999517440795898,3.814697265625e-07,mle,0.1,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.798984771573604,0.798984771573604,0.7876016260162602,0.7936991869918699,0.7926829268292683,0.7943906565969213,0.004282457057278014,5
2,1.6416207790374755,0.032157287517834005,0.007401227951049805,0.0013559200605679901,mle,0.001,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8040609137055837,0.7898477157360406,0.7845528455284553,0.7886178861788617,0.8038617886178862,0.7941882299533656,0.008170153586805957,6
5,3.1208141803741456,0.09560952047566214,0.006503915786743164,0.0006297106095085952,mle,0.001,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8030456852791878,0.7928934010152284,0.7835365853658537,0.790650406504065,0.8008130081300813,0.7941878172588832,0.007070961872958609,7
32,0.7726401805877685,0.04000601100982275,0.0053999900817871095,0.0004897461046175965,mle,0.1,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7939086294416243,0.7969543147208121,0.7896341463414634,0.7936991869918699,0.7957317073170732,0.7939855969625687,0.0024853677263830007,8
0,0.8033512592315674,0.027806609182290908,0.006200599670410156,0.0007486347848441378,mle,0.001,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8030456852791878,0.7888324873096447,0.7865853658536586,0.7876016260162602,0.8038617886178862,0.7939853906153275,0.007767849204358386,9
4,3.166425180435181,0.045233039580559305,0.00710139274597168,0.000801820101144988,mle,0.001,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8030456852791878,0.7898477157360406,0.7845528455284553,0.7876016260162602,0.8048780487804879,0.7939851842680863,0.008337681353529641,10
