,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
90,7.38769416809082,0.07961515182217523,0.006600761413574218,0.0004915610768487449,mle,0.01,4,500,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8446964965965154,0.8333203230708383,0.8484037563578756,0.8571249895772535,0.8516968851696884,0.8470484901544342,0.007987172321788569,1
88,7.266181755065918,0.038333987487124604,0.007302570343017578,0.0005963888977493844,mle,0.01,4,500,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.844863027956452,0.8333359353858323,0.8489014425081297,0.8564110314350037,0.851341680639786,0.8469706235850408,0.0077756309517173034,2
94,7.611258697509766,0.06613401250163056,0.007200813293457032,0.00039919252520290177,mle,0.01,4,500,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.844376444139137,0.8323809821186953,0.8482135412323857,0.8573178103893938,0.8524151296235354,0.8469407815006296,0.008459724787598127,3
95,7.7232053756713865,0.06529262063926436,0.007001447677612305,2.720062388792355e-06,mle,0.01,4,500,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8447459355939965,0.8328363413060222,0.8479321270741266,0.8568670265988494,0.8522427509546122,0.8469248363055215,0.008140949556383135,4
92,7.497102832794189,0.016881869259993163,0.007303953170776367,0.0004033046852087907,mle,0.01,4,500,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8443165969316597,0.8330445055059431,0.8486200283498708,0.8569269573918119,0.8516289784213248,0.8469074133201222,0.008056178166757496,5
133,0.7775504112243652,0.020065614904201036,0.007199716567993164,0.000979724940263184,mle,0.1,4,50,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8434006744520077,0.8343689502279399,0.8479998749270408,0.8569947052447262,0.8512502677092963,0.8468028945122021,0.007632338675366276,6
82,3.059986448287964,0.024265574335108803,0.006400632858276367,0.0004902324165248957,mle,0.01,4,200,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8432653677220592,0.8335883344782364,0.8470878845993495,0.8564240598682564,0.8531908336336901,0.8467112960603183,0.008006878913515213,7
93,7.55570764541626,0.05440267207691212,0.007305002212524414,0.0004023335555687371,mle,0.01,4,500,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8448109869064718,0.833010678823456,0.8467934420078379,0.856747165012924,0.8521748442062484,0.8467074233913877,0.008023637385834972,8
84,3.0807709217071535,0.009648204035702117,0.006903839111328125,0.00019513778723287685,mle,0.01,4,200,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8432991944045464,0.8333957825933096,0.8470878845993497,0.8565543442007838,0.8530706909250465,0.8466815793446072,0.008079730686752263,9
80,3.032079648971558,0.021502625138400504,0.007801580429077149,0.0011648029746832856,mle,0.01,4,200,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8431873061470888,0.8331511896584026,0.8470670391061454,0.8564136371216542,0.8533005291502778,0.8466239402367137,0.00817235343385472,10
