,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,7.866519975662231,0.14763080966041123,0.008001184463500977,0.0006325663151233184,mle,0.01,4,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",0.8431404692021066,0.8331720060783947,0.847504794463437,0.8565361043942299,0.8553742967733847,0.8471455341823105,0.008571166126046394,1
16,0.9026734828948975,0.11312030690606843,0.007000160217285156,0.0006324852511747566,mle,0.1,4,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",0.8442125148316992,0.8324642477986636,0.8457225047944634,0.8559576419578088,0.8552933310349511,0.8467300480835173,0.008594701606639266,2
10,3.4983474731445314,0.059833105529232815,0.0036019325256347657,0.0044562487878842556,mle,0.01,4,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",0.843918482899311,0.8313193446990986,0.8471426040190111,0.8556866505461519,0.8532665757760958,0.8462667315879336,0.008572496614891172,3
17,1.643268632888794,0.07155098082385267,0.007587051391601563,0.002983003893809949,mle,0.1,4,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",0.8387065717437916,0.8340749182955516,0.841569040273493,0.8531330776286167,0.8544810618526006,0.8443929339588105,0.008061401537995075,4
9,1.868125820159912,0.061620135285275594,0.009122371673583984,0.003516006739392787,mle,0.01,4,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",0.8428802639522055,0.8270285601282292,0.8460247644459268,0.854704306678896,0.8508558862091841,0.8442987562828883,0.009534383376030787,5
20,1.2763245582580567,0.03436761478364396,0.008006954193115234,0.004003485287670992,mle,0.1,6,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",0.8376293220092008,0.8296540310997315,0.8412172725756691,0.8574793629617277,0.8504458339209877,0.8432851645134634,0.009744978046100868,6
8,0.9512115478515625,0.13716849603922707,0.006404352188110351,0.0035029666019330114,mle,0.01,4,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",0.8413112262953018,0.8259825350236267,0.8462280080046695,0.8517207954640207,0.8482702061753353,0.8427025541925908,0.009013890205012275,7
15,13.688720798492431,0.29268602013150574,0.009036588668823241,0.0022179946321863033,mle,0.01,6,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",0.8388496846312372,0.8268828451882845,0.840644021512549,0.8563511006420411,0.8507409670965688,0.8426937238141361,0.010200430049289683,8
14,5.873947095870972,0.15456594655146752,0.006504535675048828,0.0034079988600109485,mle,0.01,6,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",0.8408246424779866,0.8237161472969878,0.8427546276994914,0.8562312390561161,0.8487089882416853,0.8424471289544535,0.010796196225751741,9
3,8.535131788253784,0.25211752351967887,0.013244342803955079,0.0041400456490855815,mle,0.001,4,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",0.8414127063427632,0.8260241678636109,0.845891874426749,0.8513507879596431,0.8475441263274464,0.8424447325840425,0.008808001472386816,10
