,tenure,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_Two year,PaymentMethod_Electronic check
2790,50,109.65,5551.15,1,0,0,1,1
898,12,98.9,1120.95,1,0,1,0,0
3965,52,106.5,5621.85,1,0,0,0,1
5201,9,19.9,164.6,0,1,0,0,1
1274,62,101.15,6638.35,1,0,0,1,0
2517,1,69.5,69.5,1,0,1,0,0
6259,60,76.95,4543.95,0,0,0,1,0
1653,58,20.75,1185.95,0,1,0,1,0
3432,70,94.8,6859.05,0,0,0,1,0
4391,9,59.5,530.05,0,0,1,0,0
993,10,26.1,225.55,0,1,0,1,0
4502,55,96.8,5283.95,1,0,1,0,1
4187,36,20.25,717.95,0,1,0,1,0
3992,70,84.7,5991.05,0,0,0,1,0
3376,1,19.4,19.4,0,1,1,0,0
36,5,69.7,316.9,1,0,1,0,1
1854,1,43.3,43.3,0,0,1,0,1
1343,64,73.05,4688.65,0,0,0,0,0
6281,6,20.6,116.6,0,1,0,0,0
2337,56,104.75,5510.65,1,0,0,0,0
2444,31,99.95,3186.65,1,0,1,0,1
7009,23,81.0,1917.1,1,0,1,0,1
614,50,69.5,3418.2,0,0,0,1,0
507,2,94.2,167.5,1,0,1,0,1
1291,8,75.0,632.95,1,0,1,0,1
2275,1,74.5,74.5,1,0,1,0,1
756,66,19.7,1253.8,0,1,0,1,0
4739,11,79.0,929.3,1,0,1,0,0
745,72,110.8,7882.25,1,0,0,1,0
5581,68,113.15,7856.0,1,0,0,1,1
764,65,19.9,1292.6,0,1,0,1,0
6128,14,78.1,1122.4,1,0,1,0,1
4098,1,20.2,20.2,0,1,1,0,0
2139,7,66.85,458.1,0,0,1,0,1
5237,26,54.75,1406.9,0,0,1,0,0
6752,12,49.85,552.1,0,0,0,1,0
2697,71,87.95,6365.35,0,0,0,1,0
6668,38,103.65,3988.5,1,0,1,0,1
6839,11,100.75,1129.75,1,0,1,0,1
2520,34,84.75,2839.45,0,0,0,1,0
3085,3,105.35,323.25,1,0,1,0,0
1919,1,50.9,50.9,0,0,1,0,0
5430,10,72.15,794.25,0,0,1,0,0
221,71,24.75,1836.9,0,1,0,1,0
6692,41,74.65,3090.65,0,0,1,0,0
3860,19,25.35,566.1,0,0,1,0,0
5276,46,56.9,2560.1,0,0,0,0,0
559,1,49.3,49.3,0,0,1,0,1
5360,5,84.5,453.75,1,0,1,0,1
5128,47,99.7,4747.2,1,0,1,0,1
5122,27,49.85,1336.15,0,0,1,0,0
1110,60,39.6,2424.5,0,0,0,1,0
1930,3,20.5,76.95,0,1,1,0,1
4945,20,20.05,400.0,0,1,0,1,0
5326,15,20.0,288.05,0,1,1,0,1
4651,15,86.2,1270.2,1,0,1,0,1
3150,17,25.65,440.2,0,0,1,0,0
4461,29,94.2,2607.6,1,0,1,0,1
4586,72,118.75,8672.45,1,0,0,1,0
2097,9,94.05,811.65,1,0,1,0,1
3161,14,19.35,324.8,0,1,0,0,0
2922,28,92.35,2602.9,1,0,1,0,0
6572,68,90.8,6302.85,0,0,0,1,0
3341,49,43.8,2106.05,0,0,1,0,0
263,31,49.85,1520.1,0,0,0,1,0
4742,72,20.8,1521.2,0,1,0,1,0
6086,61,69.9,4226.7,0,0,0,1,0
5579,70,93.9,6579.05,1,0,0,1,0
3209,1,93.85,93.85,1,0,1,0,1
5533,21,95.4,2025.1,1,0,1,0,0
5831,9,90.8,809.75,1,0,1,0,0
4114,51,19.95,1028.75,0,1,0,1,0
338,36,94.8,3565.65,1,0,1,0,0
1342,8,20.0,141.6,0,1,0,1,0
2508,64,110.5,7069.25,1,0,0,1,0
1427,44,73.85,3122.4,1,0,1,0,1
5272,6,90.1,521.3,1,0,1,0,1
4694,13,19.85,252.0,0,1,1,0,0
1381,2,70.7,129.2,1,0,1,0,0
3728,67,88.8,5903.15,0,0,0,0,0
1889,14,31.1,419.7,0,0,1,0,0
5057,9,75.85,724.65,1,0,1,0,1
6177,4,54.3,195.3,0,0,1,0,1
2211,50,104.4,5232.9,1,0,0,0,0
6656,48,23.55,1173.35,0,1,0,1,0
154,6,19.7,113.5,0,1,1,0,0
5889,59,50.25,2997.45,0,0,1,0,1
1067,24,89.25,2210.2,1,0,1,0,1
5860,2,70.0,153.05,1,0,1,0,0
623,20,19.7,406.95,0,1,0,1,0
1141,6,20.2,98.35,0,1,1,0,0
3731,2,69.8,146.65,1,0,1,0,1
4457,22,75.0,1573.95,1,0,1,0,0
2405,8,94.2,777.3,1,0,1,0,1
4938,17,89.4,1539.45,1,0,1,0,1
