,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,11.775577497482299,0.21025613570902463,0.18988208770751952,0.01585966314472749,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8491902412623077,0.8425914361248152,0.8385777119986659,0.8502251313266073,0.8481683460527896,0.8457505733530372,0.004452610408475982,1
30,4.790024042129517,0.14003510731368127,0.0716783046722412,0.0031170055311708082,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8476368159203979,0.8421490871999834,0.8375041690986408,0.8508374676894854,0.8454233463400874,0.844710177249719,0.004584828195465636,2
27,2.3958606243133547,0.09435437781973972,0.04149041175842285,0.005546486732917835,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8429140906346927,0.8375538624867295,0.8327070999749855,0.844140852997582,0.8432346596043648,0.8401101131396709,0.0043637361405553,3
18,4.69778618812561,0.14365293323785044,0.07559232711791992,0.005710309926344548,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8428906721622016,0.8368174816295094,0.8327331568414907,0.843950637872092,0.8416492982098737,0.8396082493430335,0.004215490470005638,4
33,11.224164009094238,0.09112350765349587,0.12096619606018066,0.009058959774747579,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8423286288224151,0.8365624804846064,0.835430042524806,0.8343825564912866,0.8404374239313829,0.8378282264508993,0.0030426164221881015,5
36,1.2202248096466064,0.04218317078838109,0.019546079635620116,0.001488708177318467,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.841847249110098,0.8183611232540229,0.8278266488785123,0.8396147752855834,0.831510298319569,0.8318320189695572,0.008467439468508869,6
15,2.394026184082031,0.07706966304237271,0.041513252258300784,0.009857178562934889,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8328857803035035,0.8254465122088303,0.8223260443592095,0.8296011214875343,0.8331217776942003,0.8286762472106555,0.0042212454798191395,7
24,1.2157822132110596,0.03315167345147441,0.02053866386413574,0.0008845484878734443,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8337730802056662,0.8255453902037928,0.8224511173184359,0.8287725131326608,0.8328266445186197,0.828673749075835,0.004284092624810177,8
9,11.970072793960572,0.09722972722542725,0.1976715087890625,0.01798836105912673,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8327452694685569,0.8249443160765212,0.8221957600266823,0.8295776703076795,0.8327874675484097,0.8284500966855699,0.00424122487572373,9
39,2.3919426918029787,0.07314504094387893,0.03739151954650879,0.0011595282776357945,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8363829388621744,0.8196959761860155,0.8224797798715917,0.8226986575502375,0.8281358552854955,0.8258786415511029,0.005921573875600558,10
