,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,10.359039211273194,2.044412070634658,0.12830829620361328,0.031979415114425085,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8,0.8081218274111676,0.7916666666666666,0.7916666666666666,0.801829268292683,0.7986568858074368,0.006311567367951866,1
33,9.515663433074952,2.0237628869602458,0.12596659660339354,0.032581792861300314,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.798984771573604,0.8060913705583757,0.7987804878048781,0.782520325203252,0.7987804878048781,0.7970314885889975,0.007779314044812946,2
18,4.907821130752564,0.2233491467584548,0.07007308006286621,0.00519805953882054,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7969543147208121,0.8050761421319796,0.7835365853658537,0.7987804878048781,0.7997967479674797,0.7968288555982006,0.007174052919754653,3
27,2.449299621582031,0.10919436540020364,0.038795089721679686,0.0016287846171246917,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7969543147208121,0.8060913705583757,0.7835365853658537,0.7947154471544715,0.8028455284552846,0.7968286492509595,0.007786670901161154,4
30,4.802612257003784,0.27898461511618444,0.07298550605773926,0.007730686112806076,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7979695431472081,0.8060913705583757,0.7876016260162602,0.7926829268292683,0.7997967479674797,0.7968284429037183,0.006296574097886339,5
24,1.2478717803955077,0.14908644230204174,0.017734384536743163,0.0009265940416991608,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7857868020304568,0.7908629441624365,0.7794715447154471,0.7804878048780488,0.8008130081300813,0.7874844207832942,0.007811611707177186,6
9,11.827573299407959,0.8675369024783798,0.1540663719177246,0.01991061184311918,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7857868020304568,0.7898477157360406,0.7774390243902439,0.7804878048780488,0.7997967479674797,0.786671619000454,0.007830962422106158,7
15,2.364078140258789,0.08078720403297208,0.03549461364746094,0.0011716228735580915,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.7888324873096447,0.7754065040650406,0.7804878048780488,0.7997967479674797,0.7866712063059718,0.008327665757669836,8
12,1.288070011138916,0.1549463200046891,0.019345712661743165,0.0018330420782751422,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7857868020304568,0.7756345177664975,0.7794715447154471,0.782520325203252,0.801829268292683,0.7850484916016672,0.009036110157828459,9
39,2.3427859783172607,0.08026407616608815,0.03760018348693848,0.004174510074721228,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7949238578680203,0.7847715736040609,0.7754065040650406,0.7936991869918699,0.7764227642276422,0.7850447773513268,0.008243847410224017,10
36,1.244038963317871,0.02804650856938139,0.020363759994506837,0.0027078682825260195,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.783756345177665,0.7736040609137056,0.7693089430894309,0.7947154471544715,0.790650406504065,0.7824070405678676,0.009698692550395193,11
6,4.965223026275635,0.2600793310195695,0.07628889083862304,0.01290930394147658,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7746192893401015,0.7756345177664975,0.7794715447154471,0.782520325203252,0.7936991869918699,0.7811889728034336,0.006859157806264333,12
3,2.330631065368652,0.08575450528013491,0.04160294532775879,0.014808110461759172,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7746192893401015,0.7756345177664975,0.766260162601626,0.7733739837398373,0.7967479674796748,0.7773271841855475,0.010251550110696178,13
0,1.270426082611084,0.09990452846432565,0.01905956268310547,0.0028089485116949355,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7685279187817259,0.7604060913705584,0.7652439024390244,0.7733739837398373,0.7926829268292683,0.7720469646320829,0.011151494829899937,14
42,4.480378198623657,0.3408805089627173,0.06137866973876953,0.010933026963525192,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7756345177664975,0.7522842639593909,0.7713414634146342,0.774390243902439,0.7784552845528455,0.7704211547191614,0.009351725401437399,15
45,10.748505115509033,0.32776512040050804,0.13557858467102052,0.013345749606466305,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7705583756345178,0.7482233502538072,0.7652439024390244,0.766260162601626,0.7713414634146342,0.764325450868722,0.008389732894076376,16
38,0.0015782833099365235,0.00047095865188253574,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
40,0.006112480163574218,0.008242424453437975,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
35,0.001603841781616211,0.00119782734632143,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.001902151107788086,0.0006616189440753015,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
41,0.0016027450561523437,0.0007981671291532793,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
32,0.0016013622283935548,0.0004911858483770312,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
43,0.0015037059783935547,0.0006338915249742572,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
31,0.0020035743713378907,0.0008383157112633956,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.001002025604248047,0.0006332429668907618,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.001705312728881836,0.00040331152375890273,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
28,0.001502656936645508,0.0008911198923399719,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
37,0.001583433151245117,0.000814778750191066,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.0015029430389404297,0.0004450646766313664,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0017024993896484375,0.0008750875903416517,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0028007030487060547,0.0004929154986532138,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.002101755142211914,0.0008047502837380894,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0020052909851074217,0.0008424525050405886,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.0020238876342773436,0.0003203764292217803,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.001800394058227539,0.0003988100371805534,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.002005767822265625,0.0008951753061556635,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0018054962158203125,0.0007564899622130229,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.001406240463256836,0.00048815465288079666,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.004124307632446289,0.003823748863392909,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.0018004417419433595,0.0007484984821309872,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.0022037506103515627,0.00024553712590814685,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.0025112152099609373,0.0005559593562353926,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
