,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,4.596780633926391,0.15604953381860742,0.07217130661010743,0.0056551102747601865,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8328233310435271,0.8363022752347054,0.833295985158009,0.8399795714166597,0.8516289784213248,0.8388060282548452,0.006902568718409483,1
27,2.339459705352783,0.03689135975481109,0.03737282752990723,0.0014894810582165546,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8326333812110993,0.8365312558546182,0.8333220420245143,0.8396747060785458,0.850662613156149,0.8385647996649853,0.00654816793453472,2
21,9.932043409347534,1.766837289818135,0.12581987380981446,0.03405984614414759,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8296358167322383,0.8390448385686629,0.8317403902276328,0.841298048861836,0.8494794686558119,0.8382397126092365,0.0071077701160529505,3
30,4.568156385421753,0.09473879252391076,0.06637415885925294,0.0036837579609799785,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8305829638418785,0.8398540768958555,0.8305886767280914,0.8393437838739265,0.8476903870162296,0.8376119776711963,0.006454987035358703,4
15,2.2841604232788084,0.07316991630614313,0.03570089340209961,0.001987081018918149,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8278586148754137,0.8294562751098067,0.8290851955307262,0.8375224089051947,0.8487403298178533,0.8345325648477988,0.007883957269625201,5
9,11.248971128463745,0.520506442931359,0.1538088798522949,0.026548182986418856,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8276166239930056,0.8300001040821,0.8290669557241723,0.837066413741349,0.8488761433145806,0.8345252481710415,0.007879145732516236,6
24,1.1730270862579346,0.04354660069422591,0.02056427001953125,0.001165877260266982,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.826986927288245,0.8295603572097672,0.8292154798632536,0.8368162678228966,0.849014568609322,0.8343187201586968,0.008057865377141555,7
33,9.289821243286132,1.9104971531710255,0.12038774490356445,0.0326037957549807,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8287355065675805,0.8353889548075522,0.829264987909614,0.8297861252397232,0.8408239700374532,0.8327999089123846,0.0046730427031646034,8
12,1.1672026634216308,0.03949449868179211,0.0187469482421875,0.0013389546782820512,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8238410458169404,0.8191313307937301,0.8245122154590178,0.8332699282915034,0.8461233082078363,0.8293755657138056,0.009538137908629448,9
6,4.617170572280884,0.07574122813847053,0.07188973426818848,0.002258034370026522,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8216709340327651,0.8138335519057432,0.8237487492704078,0.8346978445760028,0.8404530947194668,0.8268808349008772,0.00951311198138201,10
