,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,4.61371374130249,0.15679399727911172,0.06803774833679199,0.004562600375178065,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7888324873096447,0.8131979695431472,0.7967479674796748,0.8008130081300813,0.8109756097560976,0.8021134084437291,0.009036237831663513,1
21,9.777490043640137,1.7413087199079118,0.12308735847473144,0.033528479030317644,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7908629441624365,0.8111675126903554,0.7977642276422764,0.7997967479674797,0.806910569105691,0.8013004003136478,0.007106896354642306,2
18,4.678706502914428,0.06578795079079135,0.07097477912902832,0.0030853430289664906,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7898477157360406,0.8101522842639594,0.7886178861788617,0.7957317073170732,0.8089430894308943,0.7986585365853659,0.009218349278714826,3
27,2.3740073680877685,0.058775260612541264,0.036422348022460936,0.0030242292968942572,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7898477157360406,0.8091370558375635,0.7926829268292683,0.7926829268292683,0.8048780487804879,0.7978457348025257,0.007671047541584481,4
24,1.2485190391540528,0.04391498573233106,0.0187624454498291,0.0017596081622905566,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7878172588832487,0.8060913705583757,0.7865853658536586,0.7926829268292683,0.8048780487804879,0.7956109941810079,0.008324595425272533,5
15,2.358766269683838,0.04499784405799777,0.03991227149963379,0.0036172315977776636,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7908629441624365,0.8060913705583757,0.7865853658536586,0.7916666666666666,0.8008130081300813,0.7952038710742437,0.007150302892046341,6
9,11.259739255905151,0.6832328923834678,0.16047472953796388,0.024467479854791533,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7888324873096447,0.8060913705583757,0.7855691056910569,0.7936991869918699,0.8008130081300813,0.7950010317362057,0.00755621140248822,7
33,9.171296787261962,1.9197981588127715,0.11906919479370118,0.030760750548297657,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7908629441624365,0.798984771573604,0.790650406504065,0.7896341463414634,0.801829268292683,0.7943923073748503,0.005009938888684564,8
12,1.261355495452881,0.079325274291221,0.01954684257507324,0.002009489093754415,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7939086294416243,0.8040609137055837,0.7855691056910569,0.7865853658536586,0.801829268292683,0.7943906565969213,0.007587113952723039,9
6,4.793214273452759,0.036456214324435056,0.06963672637939453,0.003833917769773077,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7939086294416243,0.7796954314720812,0.7855691056910569,0.782520325203252,0.8028455284552846,0.7889078040526598,0.008438993037788722,10
36,1.1717760562896729,0.027362862052325916,0.019075870513916016,0.0008597125622658363,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7776649746192893,0.7928934010152284,0.7784552845528455,0.7845528455284553,0.801829268292683,0.7870791548017003,0.009173346958972628,11
39,2.241171407699585,0.039482481984565665,0.03330211639404297,0.0011928821468714635,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7796954314720812,0.7807106598984772,0.7693089430894309,0.7815040650406504,0.7967479674796748,0.7815934133960629,0.008774489072732589,12
3,2.3793517112731934,0.14489622976671218,0.03489618301391602,0.002150365180942478,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7725888324873097,0.7644670050761422,0.7733739837398373,0.7723577235772358,0.7957317073170732,0.7757038504395197,0.010523401783526122,13
42,4.3192328929901125,0.2574342526604412,0.061812400817871094,0.008710830105086423,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7624365482233503,0.7705583756345178,0.7693089430894309,0.7794715447154471,0.790650406504065,0.7744851636333622,0.009732020651131452,14
0,1.1342265129089355,0.04047523468296065,0.025791358947753907,0.007133217188240618,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7654822335025381,0.7644670050761422,0.7652439024390244,0.7693089430894309,0.7947154471544715,0.7718435062523215,0.011558399734824214,15
45,10.433301210403442,0.2774337320882853,0.1274238109588623,0.012641577600349627,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7634517766497462,0.7654822335025381,0.7703252032520326,0.758130081300813,0.7804878048780488,0.7675754199166358,0.007548394246561721,16
38,0.001403474807739258,0.0004908569812860608,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
35,0.002402925491333008,0.0007358590298226991,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.0014005184173583984,0.001020048399334004,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
40,0.0015627384185791016,0.0009672097331130446,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
41,0.001119518280029297,0.00023670537540398565,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
32,0.0012019157409667968,0.00039912350843922484,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
43,0.0014025211334228516,0.0004877398654223919,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
31,0.0018012523651123047,0.0003967468264370576,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.0012042999267578125,0.0004030564739088259,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.0012023448944091797,0.0003984257096195903,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
28,0.0015062332153320313,0.0012721222051365927,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
37,0.0018102169036865235,0.0006871080761075857,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.001001596450805664,0.0006357346357480836,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0027028560638427735,0.00039694961017461137,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0024002552032470702,0.0008019430768615926,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.0027068614959716796,0.0007567088042949215,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0021109580993652344,0.00020656803637171138,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.002103900909423828,0.00020666122436523436,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.0021762847900390625,0.0007595024774593983,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.0020114898681640623,0.000839843222286473,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0028037548065185545,0.0013644455061588815,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.001302957534790039,0.0005981206090860696,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.0024070262908935545,0.0007962329527786735,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.0018030166625976562,0.0007491902182804988,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.001905536651611328,0.0008080348401244275,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.0016184806823730468,0.0003746702751945158,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
19,0.002406454086303711,0.0008622578522708209,0.0,0.0,0.05,200,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
20,0.0020032882690429687,0.0007077402668370565,0.0,0.0,0.05,200,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
22,0.001604318618774414,0.000808193014182353,0.0,0.0,0.05,500,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
46,0.0014016151428222657,0.00048584309297851726,0.0,0.0,1.0,500,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
13,0.0016076087951660157,0.0005875761214976392,0.0,0.0,0.05,50,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
47,0.0017027854919433594,0.00040034729275882603,0.0,0.0,1.0,500,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
