,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,9.713419246673585,1.6238787657811469,0.12573580741882323,0.03280732248400804,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8411082662003788,0.8403172422406795,0.8410296631368298,0.8497248394897023,0.8474579369929848,0.8439275896121151,0.0038846526040652433,1
18,4.483547353744507,0.09111819658418567,0.06950263977050782,0.0020814313502889926,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8389797872561877,0.8402313745082121,0.8395939297923789,0.8485600975569082,0.8484504202383003,0.8431631218703973,0.004379895746976932,2
27,2.241417169570923,0.05317191932404195,0.03702707290649414,0.003976040625614568,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8373274839193156,0.8405123961781054,0.8400629533894772,0.848429813224381,0.846893788621963,0.8426452870666484,0.0042663147894047605,3
30,4.496020269393921,0.10892169649664905,0.06675605773925782,0.003284038746272393,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8380482524615416,0.8361331418222694,0.8382493954806972,0.8474578921037271,0.8466091026384384,0.8412995569013347,0.0047472661273785495,4
33,9.125388622283936,1.8259757499853964,0.11916699409484863,0.029472335486280785,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8377984554216367,0.8372962592893274,0.8348802426415408,0.8449329817393479,0.8436055349223512,0.8397026948028408,0.0038797207834150057,5
24,1.1694607734680176,0.011680715022026715,0.019603395462036134,0.0010222696144753473,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8369892170944442,0.8340723162430526,0.8345362920036687,0.8411469190361044,0.8453528277937097,0.8384195144341959,0.004278618212503983,6
15,2.279289722442627,0.040997951725269856,0.03718380928039551,0.0020144377355960073,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8362996731822062,0.8346343595828389,0.8343825564912866,0.8406831068123072,0.8450289648399751,0.8382057321817229,0.00409141355715952,7
9,10.834032011032104,0.3804552642097578,0.15222625732421874,0.019952200410224857,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8367888590520203,0.834647369845334,0.8336998665888434,0.8410661427499375,0.84482263279687,0.8382049742066011,0.004169834918091009,8
36,1.1455496788024901,0.026539124254466525,0.01913738250732422,0.001036734399388069,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8271690709631757,0.8212181768979372,0.832370966397065,0.8363863295255566,0.8360913920361054,0.830647187163968,0.005771517365199027,9
12,1.1454627513885498,0.029066706742599566,0.020177888870239257,0.003167491450737452,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8326984325235746,0.8256963092487355,0.825940131743517,0.8283972942549821,0.8403120576267112,0.8306088450795042,0.0054651543248905275,10
6,4.436787462234497,0.07504630223723707,0.06874241828918456,0.004192385900634356,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.828124024230313,0.8226493057723933,0.8221123780538648,0.828277432669057,0.8399699120868789,0.8282266105625012,0.006425082185092179,11
39,2.2454261302948,0.031105585288248153,0.03500547409057617,0.0010456294417245362,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8302394929120089,0.8193915360436311,0.829976340365213,0.8230478195614109,0.8357152931220911,0.827674096400871,0.005771406669204922,12
3,2.26440691947937,0.0567303931363483,0.037380123138427736,0.005616925524823873,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.8222511917400446,0.8191105143737379,0.8164033186025181,0.8234256441257399,0.8333072153531935,0.8228995768390467,0.00575455393422576,13
42,4.276960039138794,0.24505941001741796,0.0635159969329834,0.00432154430574951,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8342284393929933,0.8197298028685027,0.8174351705161345,0.8140139039439673,0.8289429008718182,0.8228700435186832,0.007532900070103123,14
0,1.0976354122161864,0.025589679241403405,0.02564234733581543,0.008640382334648358,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.8168493307520973,0.8005032369533087,0.8040549695655801,0.8161088760110065,0.8279138524543066,0.8130860531472599,0.00982904962564297,15
45,10.421169662475586,0.28373415538512997,0.1360403060913086,0.012141838864938465,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8234169112596017,0.7954110202127439,0.7894136162761611,0.8163720503627114,0.8100491540386233,0.8069325504299683,0.012729573766840249,16
38,0.0013009071350097655,0.0004004211921116214,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
35,0.002802610397338867,0.0011652428960262822,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
34,0.0021999835968017577,0.00039919779382013756,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
40,0.0014190673828125,0.0005097492928872893,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
41,0.0014171600341796875,0.00048140524013637673,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
32,0.0009995460510253905,9.956652172956992e-07,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
43,0.0017981529235839844,0.0007490315112679504,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
31,0.0016148090362548828,0.00047255260065896647,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
44,0.001400136947631836,0.0004894798950076373,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
29,0.0012006759643554688,0.00040614659183668645,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
28,0.0012192249298095704,0.000977177670647576,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
37,0.0016002655029296875,0.0007978710147849453,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.0014162540435791015,0.0005102391638690869,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0014003753662109376,0.0004899622017715126,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0020001888275146484,2.6787895021797445e-06,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.0020963668823242186,0.0007918478134300208,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0018215656280517578,0.0007330559460729422,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.0020009517669677735,0.0006331681195218184,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.0019742488861083985,0.0006353903102872603,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.0017283439636230468,0.0010337329250629055,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0026266098022460936,0.0010373551158871363,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.0015210151672363282,0.0006638483794830872,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.001199054718017578,0.0003994540437755738,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.0014024734497070312,0.000494692263996348,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.002047014236450195,0.0008995403308575676,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.0024066925048828124,0.0014975946642508987,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
19,0.0056381702423095705,0.006160378749127384,0.0,0.0,0.05,200,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
20,0.0013390541076660155,0.0006775394366253569,0.0,0.0,0.05,200,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
22,0.0017033100128173828,0.0008780398870317952,0.0,0.0,0.05,500,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
46,0.0019971370697021485,0.0006308281064277019,0.0,0.0,1.0,500,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
13,0.0035268306732177735,0.0035709381587433263,0.0,0.0,0.05,50,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
47,0.001599264144897461,0.0004897490991400831,0.0,0.0,1.0,500,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
