,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,1.7664494514465332,0.04297906303950036,0.01699986457824707,3.5221453309286853e-06,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7939086294416243,0.7939086294416243,0.7977642276422764,0.7865853658536586,0.7997967479674797,0.7943927200693326,0.004516504138358391,1
57,4.000066089630127,0.10265511458968551,0.019103479385375977,0.0012011699648785958,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7918781725888325,0.7918781725888325,0.7804878048780488,0.7957317073170732,0.8038617886178862,0.7927675291981346,0.007539794211089127,2
6,3.6419567584991457,0.05883494099168422,0.03380928039550781,0.002334674911937386,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.783756345177665,0.7908629441624365,0.7896341463414634,0.7886178861788617,0.8099593495934959,0.7925661342907845,0.009024659504775575,3
33,5.540501832962036,0.09600591271885824,0.03590483665466308,0.003389099075743253,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7979695431472081,0.7878172588832487,0.7876016260162602,0.7865853658536586,0.7997967479674797,0.791954108373571,0.005702165797961764,4
12,2.4804642677307127,0.04667612155854279,0.017105674743652342,0.0004885586029109238,0.5,0.75,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8010152284263959,0.7796954314720812,0.7896341463414634,0.782520325203252,0.7987804878048781,0.7903291238496142,0.008487097588062912,5
39,3.992591953277588,0.06929091523289906,0.0183046817779541,0.00039989278412236345,0.75,0.75,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7949238578680203,0.7908629441624365,0.7896341463414634,0.7784552845528455,0.7977642276422764,0.7903280921134084,0.006605276092547013,6
30,2.8385596752166746,0.09632470607950834,0.018603086471557617,0.0013551273865699805,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8010152284263959,0.7786802030456853,0.782520325203252,0.7916666666666666,0.7957317073170732,0.7899228261318145,0.008258559958666107,7
24,6.334428071975708,0.09830525054433853,0.03471231460571289,0.00172113531065435,0.5,1.0,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.798984771573604,0.7776649746192893,0.790650406504065,0.782520325203252,0.7957317073170732,0.7891104370434567,0.00797675864695151,8
60,7.821788740158081,0.2920905693211175,0.03521962165832519,0.0013270537662951947,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7908629441624365,0.782741116751269,0.7835365853658537,0.7865853658536586,0.8008130081300813,0.7889078040526598,0.006600427237940288,9
15,5.153409862518311,0.20714525007750972,0.034107303619384764,0.001496406147285792,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7857868020304568,0.7876016260162602,0.7855691056910569,0.7926829268292683,0.788906772316454,0.0032474664352151465,10
