,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,3.619091510772705,0.0906964503055418,0.035208272933959964,0.001202758223120711,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8149654447428131,0.8190064322737775,0.8295698532477278,0.831646585508213,0.8343179811846071,0.8259012593914278,0.00754240335470888,1
33,5.710006761550903,0.08802588752070326,0.03380641937255859,0.0009237554058220401,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.822331855367514,0.821415932887862,0.8271126907362628,0.8254554740265155,0.8324374866145352,0.8257506879265379,0.003927696447187231,2
30,2.8864620685577393,0.06705323080607652,0.019103002548217774,0.001026120132128569,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8140573284206583,0.8185172464039634,0.8299945801717669,0.8268729675644125,0.8345765491879921,0.8248037343497586,0.007506526325705057,3
60,8.293734216690064,0.19766984124650466,0.037517356872558597,0.002340756019901254,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8164486146672494,0.8156081517100688,0.8268312765780038,0.8203118485783374,0.8372223005761628,0.8232844384219644,0.008016660362042998,4
42,8.31093363761902,0.18252199871555194,0.03641266822814941,0.0013871320246574125,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8115619600741064,0.820476591935719,0.8208955223880596,0.8240588259818227,0.8332471439988718,0.8220480088757158,0.006974507992886534,5
57,4.201155471801758,0.23036446450906864,0.022803497314453126,0.005636663409790348,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8152620787277005,0.8148457503278586,0.8184487826231968,0.8184565996831485,0.8382617961857302,0.8210550015095268,0.008737626755098435,6
66,6.16308183670044,0.2763053429268602,0.020998764038085937,0.0014155960164603002,1.0,0.75,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8063474468660881,0.8083900580778118,0.8281549653964811,0.8128517676978237,0.8332158024227039,0.8177920080921817,0.010854169120900438,7
15,5.147555160522461,0.055670871665721135,0.037109756469726564,0.0027759482093160526,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8049631549366139,0.8058426486812797,0.8260183023430334,0.822443300258484,0.8289350654777762,0.8176404943394374,0.010205156004179785,8
3,1.8479360580444335,0.03962275932654884,0.02070760726928711,0.004284276302907348,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8099200649472305,0.8064515289660484,0.8162886683898941,0.827920453597932,0.8275168591561803,0.8176195150114571,0.008829987012600897,9
39,4.1365394115448,0.08026469953572347,0.01980299949645996,0.0007470536309264171,0.75,0.75,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8091004184100419,0.805408105913945,0.823816497123322,0.8186259693154339,0.8274228344276768,0.8168747650380839,0.008419511453451996,10
69,12.138245820999146,0.3185496873460411,0.03760514259338379,0.0015245640170626134,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8069225004683693,0.8111092029392785,0.8185842783290254,0.8146444801133996,0.8286373205041815,0.8159795564708509,0.00740994739680036,11
51,10.529807424545288,0.20788000821179084,0.03721184730529785,0.0016303744724408757,0.75,1.0,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8032614126022606,0.8086294469077209,0.8169348786792296,0.8109600391895272,0.8286608266863074,0.8136893208130092,0.008677236953623884,12
48,5.309419393539429,0.11884498553928921,0.020105266571044923,0.0008030538808295422,0.75,1.0,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8006489518932535,0.8022205916026562,0.8192383056783124,0.8188344242474777,0.8250043094667232,0.8131893165776847,0.00985520411465375,13
12,2.567005920410156,0.042859900192046566,0.01840529441833496,0.00037632218726102245,0.5,0.75,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.804039426299465,0.8074116863381835,0.8130576169432169,0.8185425873426166,0.8228574114992243,0.8131817456845413,0.00691734239117939,14
78,12.34732756614685,0.3445481843846713,0.024200057983398436,0.0007486851729609811,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8067481629509357,0.8056943316888362,0.821364545985158,0.8074449678979405,0.8245315740261911,0.8131567165098124,0.008076344053503636,15
24,6.399725484848022,0.08397226537100878,0.0356076717376709,0.001316264202204251,0.5,1.0,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7999255812985283,0.8061913237161473,0.813091490869674,0.8188969607270908,0.8248528251819116,0.8125916363586704,0.008851402984735631,16
61,0.9477914810180664,0.032799403854612996,0.030611371994018553,0.0005849729463257784,1.0,0.5,100,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 2}",0.7932617248485605,0.8028242677824268,0.8108610230968065,0.8255154048194782,0.8274567878018585,0.8119838416698262,0.01310107962645491,17
21,3.2431238174438475,0.03766861408076647,0.02010340690612793,0.001967111779964786,0.5,1.0,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7955515310476905,0.8020332438227273,0.8195874676894856,0.8154470316017678,0.8235286435888195,0.8112295835500982,0.010670351145501248,18
62,1.209976863861084,0.022620793128519973,0.032606983184814455,0.0018344082557733502,1.0,0.5,100,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7987754740939653,0.8020176315077332,0.8124530976402902,0.8173465771700158,0.8239386958770156,0.8109062952578039,0.009379535809300097,19
75,7.780271863937378,0.29444746262951227,0.020512723922729494,0.0003161685165217245,1.0,1.0,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8042658048668789,0.8063500489185869,0.8150796297840407,0.8038282748269825,0.8231055323105532,0.8105258581414084,0.007489570218565483,20
59,0.6031240940093994,0.008315013771591216,0.01670703887939453,0.0007429906175774347,1.0,0.5,50,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.8006021149482712,0.7942635150606798,0.8122602768281497,0.8144308138080547,0.8274646231959005,0.8098042687682112,0.01153706785827124,21
35,0.9390096664428711,0.0047014148052717,0.03141036033630371,0.0011642667559418661,0.75,0.5,100,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7907585503445117,0.8036283020046213,0.8109209538897689,0.8231624697740348,0.8202064365150258,0.8097353425055924,0.011736710060293611,22
58,0.4761218070983887,0.008033819778806376,0.01910710334777832,0.0020036917024359125,1.0,0.5,50,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 2}",0.7991319552863299,0.8022283977601532,0.8082188568331528,0.8207600266822312,0.8177330637957783,0.8096144600715289,0.008444168555200802,23
71,1.602268362045288,0.0413400907348339,0.03230576515197754,0.001659324136202017,1.0,0.75,100,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7953459689002685,0.7909172755469513,0.8040810264320855,0.8174247477695322,0.8282142092259153,0.8071966455749507,0.013867339796261705,24
32,0.47609362602233884,0.012908322889060091,0.01770157814025879,0.0011678305608810145,0.75,0.5,50,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.7886534898728117,0.7961005641249818,0.8066345993496207,0.8160750020845493,0.8211545191941036,0.8057236349252135,0.012083759276864989,25
70,1.2599005699157715,0.03266353264253749,0.03530559539794922,0.00286400056148175,1.0,0.75,100,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 2}",0.790352630154666,0.7937561148233727,0.8060561369131994,0.8134667097473525,0.8163827642225461,0.8040028711722274,0.010376579284395357,26
68,0.8078914165496827,0.023383713856138393,0.017403650283813476,0.001017587716565551,1.0,0.75,50,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.7924811090988573,0.7866837361310602,0.8027443091803552,0.809055282247978,0.8235155845987494,0.8028960042514001,0.01291847118802182,27
44,1.2401841163635254,0.01653322850716785,0.03321099281311035,0.0019583789455106548,0.75,0.75,100,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7880524157455401,0.7910447761194029,0.7957115609105312,0.8193633786375386,0.8199687628957526,0.8028281788617531,0.013964458167578547,28
67,0.6110374927520752,0.009058034255525526,0.019401931762695314,0.003441568103427133,1.0,0.75,50,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 2}",0.7901574762172401,0.7913726347342784,0.8005659551404987,0.8188656924872841,0.8089104101045241,0.8019744337367651,0.010839232716522184,29
27,0.6023506641387939,0.006959562753673875,0.007000494003295899,0.0008937789367990437,0.75,0.5,10,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7885728262453424,0.7921532504839818,0.8071270741265739,0.7943097014925373,0.814288102215327,0.7992901909127526,0.00976685395518859,30
53,1.4776369094848634,0.02015538260338328,0.033607101440429686,0.0019920122948604074,0.75,1.0,100,3,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7826167280751057,0.7854399550365327,0.7948907696156091,0.820668827649462,0.8126635638506261,0.7992559688454672,0.015000504400061093,31
79,1.4605067729949952,0.02162242185692094,0.033503389358520506,0.0025284637163724695,1.0,1.0,100,2,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 2}",0.7853853119340535,0.7865692458211037,0.7997217126657217,0.8154835112148753,0.8077194302101453,0.7989758423691798,0.011731461434671447,32
41,0.6043500900268555,0.002924444266094223,0.01680865287780762,0.00023265307638210833,0.75,0.75,50,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.7790545182039592,0.7902641603696996,0.7981765404819477,0.8165466313682982,0.8102032501214487,0.7988490201090708,0.013476634110353764,33
80,1.6657691478729248,0.06028196165812788,0.02720193862915039,0.001601185390747574,1.0,1.0,100,3,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7856116905014676,0.788741959657778,0.7962483323605437,0.8035520720420245,0.8171401856466028,0.7982588480416833,0.01130563630877617,34
63,1.2273571968078614,0.02903663098492096,0.006200981140136719,0.00039974332595035117,1.0,0.75,10,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.793826370240846,0.7913960532067695,0.805639227049112,0.794713582923372,0.8035327179937211,0.7978215902827641,0.005668182142199988,35
76,0.7690561294555665,0.01935421894471144,0.01870427131652832,0.0015334384090357881,1.0,1.0,50,2,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 2}",0.7837304065446824,0.7813469264555881,0.8006337029934129,0.813711644292504,0.804522589441023,0.7967890539454421,0.012409275039003811,36
77,0.9868921756744384,0.021014205883817607,0.01860074996948242,0.0011994630756444514,1.0,1.0,50,3,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.7777014509044735,0.7884088969379046,0.7917561285750021,0.8025697281747686,0.8169678069776796,0.7954808023139657,0.013356156752077446,37
54,0.8367939949035644,0.03119179060745299,0.006102657318115235,0.00020451948727145432,1.0,0.5,10,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7951794375403318,0.8016169154228856,0.8022075377303428,0.7843585841741016,0.7937463108353053,0.7954217571405934,0.006475900548216624,38
55,0.10392112731933593,0.00241337026483529,0.005400657653808594,0.0004893060961480738,1.0,0.5,10,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 2}",0.7709881554570246,0.7798559503736546,0.7980957641957809,0.8023378220628701,0.8099629647041616,0.7922481313586983,0.014528349621801788,39
50,0.7293484687805176,0.015625475356836973,0.018408489227294923,0.0008548005779041462,0.75,1.0,50,3,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 3}",0.7711911155519474,0.7811491704656632,0.7905549070291003,0.8098552280496956,0.8034621994473435,0.79124252410875,0.014143272630465529,40
36,0.8464937686920166,0.03141288142465554,0.006200981140136719,0.00040164861394576304,0.75,0.75,10,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7808915672682613,0.776239097400029,0.7750328316517969,0.7957402234636871,0.801007109314194,0.7857821658195936,0.01059715160369626,41
0,0.3570675849914551,0.01186112164367365,0.005907297134399414,0.0006582440342311234,0.5,0.5,10,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7710766252419909,0.7705353983221965,0.8016942174601851,0.7949819686483781,0.7904032093773996,0.78573828381003,0.012711341531953958,42
45,1.0723384380340577,0.0406287836447594,0.00890207290649414,0.0028329703876962503,0.75,1.0,10,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7779408397343824,0.7791664064614168,0.7964489702326358,0.7814662719919953,0.7878906596879424,0.7845826296216745,0.006854394700035732,43
18,0.6400359630584717,0.014046131882190291,0.005902290344238281,0.0006631710385892208,0.5,1.0,10,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7768167530548097,0.7723386207040113,0.7772398482448095,0.8024159926623864,0.7895648222149092,0.7836752073761852,0.010980665155589613,44
56,0.13453130722045897,0.008256642859769008,0.006203317642211914,0.00040036312664313114,1.0,0.5,10,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.7742094964508004,0.7647250150919045,0.787151880263487,0.7902578587509381,0.8011768761851032,0.7835042253484467,0.012730202364840904,45
64,0.13602743148803711,0.0014818329548987805,0.0055049419403076175,0.000776458773045861,1.0,0.75,10,2,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 2}",0.7607724973459065,0.7767386914798393,0.7788397398482448,0.7992162094555157,0.8000146260688783,0.783116352839677,0.014852399688973233,46
