,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,6.141971921920776,0.31172884450310107,0.04040160179138184,0.008403664750284421,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.798984771573604,0.7886178861788617,0.7876016260162602,0.7926829268292683,0.7913439395815278,0.004193301106995955,1
60,8.825984668731689,0.2631491831468209,0.03740983009338379,0.004691548393705881,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7979695431472081,0.7784552845528455,0.7865853658536586,0.7947154471544715,0.7901238083446824,0.0069135283011616255,2
15,5.466522693634033,0.18079964025724085,0.0381070613861084,0.0021091331504216834,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7908629441624365,0.7979695431472081,0.7845528455284553,0.7804878048780488,0.7947154471544715,0.7897177169741241,0.006422595453720595,3
30,3.1518877029418944,0.05990929389432617,0.025606489181518553,0.0066165411178237266,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8071065989847716,0.7888324873096447,0.7754065040650406,0.7855691056910569,0.790650406504065,0.7895130205109158,0.010255135749420522,4
42,9.03866171836853,0.3308232026803797,0.03610572814941406,0.0030054830342782944,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7908629441624365,0.7959390862944162,0.7804878048780488,0.7855691056910569,0.7936991869918699,0.7893116256035656,0.005611537880253339,5
39,4.420809650421143,0.2184599625310844,0.02171359062194824,0.0033415185279970414,0.75,0.75,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8010152284263959,0.8050761421319796,0.7723577235772358,0.7804878048780488,0.7876016260162602,0.7893077050059841,0.012277727218478269,6
57,4.4999981880187985,0.19757362606935128,0.018202924728393556,0.0009845078824174424,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7918781725888325,0.8010152284263959,0.7815040650406504,0.7794715447154471,0.790650406504065,0.7889038834550781,0.00777570244147402,7
69,13.27856240272522,0.6042750586337308,0.042412757873535156,0.006262915498181451,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7979695431472081,0.7815040650406504,0.7713414634146342,0.7947154471544715,0.7876847839544385,0.009875642773304006,8
6,3.9962588787078857,0.1218702137308196,0.03650398254394531,0.0038435463659535762,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.7959390862944162,0.782520325203252,0.782520325203252,0.7865853658536586,0.7872795179728447,0.004963497075205424,9
3,1.990953302383423,0.12294025538278432,0.021216154098510742,0.004622279421027335,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7949238578680203,0.7878172588832487,0.7764227642276422,0.7835365853658537,0.7865853658536586,0.7858571664396847,0.006016147801530446,10
24,6.917833423614502,0.24930403895242512,0.0393099308013916,0.009019444919891782,0.5,1.0,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7878172588832487,0.7959390862944162,0.782520325203252,0.774390243902439,0.7865853658536586,0.7854504560274029,0.007040100849364538,11
21,3.4922459602355955,0.15418156030812766,0.02180471420288086,0.005422358034425155,0.5,1.0,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.783756345177665,0.8,0.7764227642276422,0.7804878048780488,0.7855691056910569,0.7852472039948826,0.008006171217785142,12
66,6.656340217590332,0.16188562911975315,0.021215343475341798,0.0034957034466403174,1.0,0.75,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7878172588832487,0.7857868020304568,0.7723577235772358,0.7764227642276422,0.7977642276422764,0.784029755272172,0.008946180915217752,13
48,5.780376243591308,0.11133505144750923,0.021799039840698243,0.003543949082286471,0.75,1.0,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.783756345177665,0.7888324873096447,0.774390243902439,0.782520325203252,0.7876016260162602,0.7834202055218522,0.005084093878079243,14
63,1.37560076713562,0.09083374239496726,0.005083417892456055,0.00021369618841145688,1.0,0.75,10,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7969543147208121,0.7878172588832487,0.7733739837398373,0.7835365853658537,0.774390243902439,0.7832144773224382,0.00877239867791887,15
51,11.169274759292602,0.4421047664603696,0.0434112548828125,0.0047830695673612015,0.75,1.0,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7939086294416243,0.7857868020304568,0.7682926829268293,0.7693089430894309,0.7876016260162602,0.7809797367009204,0.010308077606191495,16
78,13.01910228729248,0.5361477055301123,0.02411341667175293,0.0012322360577309728,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7918781725888325,0.7888324873096447,0.7642276422764228,0.774390243902439,0.7845528455284553,0.7807762783211589,0.010169127887938117,17
75,8.316844511032105,0.2958118352848224,0.024104213714599608,0.004612714501223211,1.0,1.0,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7908629441624365,0.7847715736040609,0.7652439024390244,0.7774390243902439,0.782520325203252,0.7801675539598035,0.008617240269609498,18
