,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,5.9206489562988285,0.1736118465294962,0.03800501823425293,0.0023017829178435764,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8184521950914881,0.8160635108973959,0.8293744267489368,0.8337207120820478,0.8427697595578748,0.8280761208755487,0.009862786337951686,1
30,2.8563889026641847,0.06634611760612381,0.018809032440185548,0.0005129390171754216,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8128707924811089,0.8166281562896812,0.8314224964562662,0.827709392979238,0.8451491075486186,0.8267559891509826,0.011457432161762775,2
60,8.907141494750977,0.2752517883974422,0.05100827217102051,0.013609427287711171,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8154650388226233,0.8160765211598909,0.8294213291086467,0.829298861836071,0.8383114203479961,0.8257146342550457,0.008754572799687844,3
6,3.656724214553833,0.10317778648003871,0.03440160751342773,0.0018552501765500221,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8076875039030786,0.8178198963342285,0.8312896064370884,0.8294552030351039,0.8403642935869912,0.8253233006592982,0.01136858209118754,4
57,4.5029090404510494,0.22509661257202823,0.024999475479125975,0.009531405534248001,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8162118278898396,0.8149290160078271,0.8225006253647961,0.8250151129825732,0.8386561776858424,0.8234625519861757,0.008480285921936675,5
69,13.060008335113526,0.5611014422985354,0.03960847854614258,0.0026355551566647224,1.0,0.75,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.815178813047732,0.8159047856949562,0.8232849370466105,0.8174560160093388,0.8412157397395514,0.8226080583076378,0.009730108548151756,6
42,8.94831862449646,0.1870545408639944,0.038308906555175784,0.005196715391164616,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8093346031349529,0.8110805803617894,0.8233370507796215,0.8261798549153673,0.8397688036398017,0.8219401785663065,0.011087086043280028,7
15,5.124665260314941,0.05187461378644196,0.03521113395690918,0.001855321981237158,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8122020649888634,0.806087241616187,0.8225918243975652,0.8206792503960644,0.8400378188352425,0.8203196400467846,0.011511341415917581,8
3,1.9241824626922608,0.05604703195408906,0.019305038452148437,0.0012563571430445372,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.811913237161473,0.8122332896188513,0.820773055115484,0.8279803843908947,0.82622663093727,0.8198253194447946,0.006761952956600177,9
51,11.411297369003297,0.31267122887103305,0.046616744995117185,0.013979783580150876,0.75,1.0,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8100189429421927,0.8088818460001248,0.8203822021179021,0.8182742016176103,0.8368932140264,0.818890081340846,0.01005564905775656,10
48,5.710882711410522,0.28529660249972355,0.02100510597229004,0.0013089015782477918,0.75,1.0,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8103676179770604,0.8085487832802515,0.8164085299758193,0.8169062161260735,0.83320013163462,0.8170862557987648,0.008696864402895986,11
78,12.807681369781495,0.38828625780463905,0.02460174560546875,0.00224414403435456,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8118637981639918,0.8025900830575159,0.817753064287501,0.8169088218127241,0.8362507117149589,0.8170732958073383,0.011001497489233347,12
