,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
60,7.722122669219971,0.1085425645462395,0.037503623962402345,0.0009998048203169606,1.0,0.5,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7939086294416243,0.8081218274111676,0.7926829268292683,0.8038617886178862,0.7957317073170732,0.7988613759234039,0.006054053937312087,1
33,5.4759743213653564,0.043828763848863514,0.03371000289916992,0.002465856807165439,0.75,0.5,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7969543147208121,0.798984771573604,0.7967479674796748,0.7987804878048781,0.7865853658536586,0.7956105814865255,0.0046040688077602625,2
57,3.7974453926086427,0.08857589803151618,0.018905448913574218,0.0011998795298647901,1.0,0.5,50,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8030456852791878,0.7969543147208121,0.782520325203252,0.8008130081300813,0.7926829268292683,0.7952032520325204,0.00725600462138232,3
15,5.045177268981933,0.03818314319890701,0.034217023849487306,0.0024058776529759037,0.5,0.75,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7939086294416243,0.7928934010152284,0.7845528455284553,0.7977642276422764,0.7916666666666666,0.7921571540588502,0.00431543939534606,4
30,2.80957088470459,0.07688850080236292,0.020706319808959962,0.005191028363845031,0.75,0.5,50,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.7857868020304568,0.798984771573604,0.7886178861788617,0.7876016260162602,0.7967479674796748,0.7915478106557715,0.005285755758962326,5
42,7.916179180145264,0.06500712475050242,0.03501086235046387,0.0019123662479371526,0.75,0.75,100,mle,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.7979695431472081,0.7918781725888325,0.7926829268292683,0.7957317073170732,0.7794715447154471,0.7915467789195658,0.006418371459135339,6
3,1.7749371528625488,0.02812444899781233,0.017705726623535156,0.0006074067953347949,0.5,0.5,50,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 'mle'}",0.8030456852791878,0.7969543147208121,0.7876016260162602,0.7794715447154471,0.7886178861788617,0.7911382113821138,0.008131243188432467,7
6,3.5431740283966064,0.09495932593713656,0.03160734176635742,0.0009676301189660729,0.5,0.5,100,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8030456852791878,0.7888324873096447,0.7865853658536586,0.7865853658536586,0.7876016260162602,0.790530106062482,0.006312203712982659,8
78,11.20510745048523,0.20995255581256253,0.022400617599487305,0.0004879399173875821,1.0,1.0,100,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 100, 'pca__n_components': 'mle'}",0.8010152284263959,0.7928934010152284,0.7855691056910569,0.782520325203252,0.7896341463414634,0.7903264413354794,0.0064013500972006695,9
35,0.9138263702392578,0.013443218735981945,0.029808902740478517,0.0012819901801406743,0.75,0.5,100,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 3}",0.7928934010152284,0.8020304568527918,0.7723577235772358,0.7855691056910569,0.7967479674796748,0.7899197309231976,0.010290668129517674,10
