,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4377,0.3392510414123535,0.015310452200938577,0.006110715866088867,0.0010286540172193097,1000,100,elasticnet,saga,0.1,0.9,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8352380357626096,0.83139480422157,0.8476090219294589,0.8535395647461018,0.8488030129701889,0.8433168879259858,0.008490312547906886,1
1392,0.364838171005249,0.019241214580085406,0.0051022529602050785,0.0007976900006245931,100,1000,l2,sag,0.1,0.9,,"{'logistic__C': 100, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.833931805408106,0.8330809342409293,0.8454827816226133,0.854050279329609,0.8498111670035886,0.8432713935209692,0.00842516017974552,2
3762,0.3918754577636719,0.020529957367103776,0.006719350814819336,0.0014443998947669115,100,1000,elasticnet,saga,0.1,0.9,0.2,"{'logistic__C': 100, 'logistic__l1_ratio': 0.2, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8351495659776431,0.8293443868523491,0.8491255315600766,0.8527787042441425,0.8498790737519522,0.8432554524772327,0.009254681563508867,3
3898,0.3319504737854004,0.04388425352634094,0.005601310729980468,0.0011996179878004634,100,1000,elasticnet,saga,0.1,0.95,0.9,"{'logistic__C': 100, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8355138533275047,0.8304372489019338,0.8451492537313433,0.8553010089218711,0.8496231175465814,0.8432048964858468,0.009093459104631118,4
4213,0.3449531555175781,0.0157532654086577,0.005608940124511718,0.0013955132972505518,1000,1000,elasticnet,saga,0.1,0.95,0.5,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.5, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8348685443077499,0.8303643914319615,0.8449512215459017,0.8563172267155841,0.8492783602087348,0.8431559488419864,0.009447022548710379,5
4107,0.3568899631500244,0.016153258038614123,0.006110572814941406,0.0005866689117019031,1000,100,elasticnet,saga,0.1,0.9,0.1,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.1, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8345458897978726,0.8292298965423927,0.8457329275410657,0.8553166430417743,0.849941756904288,0.8429534227654786,0.009679188592340576,6
3837,0.3529294490814209,0.043764758149888304,0.005599546432495117,0.0004889483523454934,100,100,elasticnet,saga,0.1,0.9,0.8,"{'logistic__C': 100, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8347540539977935,0.831852765461396,0.8421475027099142,0.8555303093471192,0.8498738501559243,0.8428316963344293,0.008911790534353196,7
4017,0.37548065185546875,0.022392281921391418,0.006002950668334961,0.0006329613455665494,1000,100,elasticnet,saga,0.1,0.9,0,"{'logistic__C': 1000, 'logistic__l1_ratio': 0, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8344053789629259,0.8296618372572285,0.8461498374051529,0.8544932460602016,0.8493567141491545,0.8428134027669326,0.009316909347417019,8
3747,0.33319797515869143,0.013232999021227121,0.0061490535736083984,0.00036259075014335475,100,100,elasticnet,saga,0.1,0.9,0.2,"{'logistic__C': 100, 'logistic__l1_ratio': 0.2, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8350402797726847,0.8317122546264493,0.8457225047944634,0.8530601184024015,0.8485313859767342,0.8428133087145466,0.008121703257134575,9
3147,0.3271643161773682,0.021045459778760458,0.005801963806152344,0.0007472628799551152,1,10000,elasticnet,saga,0.1,0.9,0.95,"{'logistic__C': 1, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8342336434979913,0.8308223526717875,0.8457798299007755,0.8535082965062954,0.8496596827187772,0.8428007610591255,0.008802826178552808,10
3131,0.3443593502044678,0.02820910121571845,0.006199359893798828,0.0009800560681337753,1,1000,elasticnet,saga,0.1,0.85,0.95,"{'logistic__C': 1, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8340671121380545,0.8306193925768646,0.8465094221629283,0.8553426999082798,0.8474448780029149,0.8427967009578085,0.009135474794682644,11
