,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3686,0.01668233871459961,0.0015503959901368163,0.0029916286468505858,0.0007801247311088411,100,10000,elasticnet,saga,0.1,0.85,0.05,"{'logistic__C': 100, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8379233539415891,0.8344027769104269,0.8485939714833654,0.8572709080296841,0.8535930505278443,0.8463568121785819,0.008837507482053485,1
4093,0.018952655792236327,0.0017556598837204034,0.002305889129638672,0.0006131437368290377,1000,10000,elasticnet,saga,0.1,0.95,0.05,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.838355294656425,0.8345380836403756,0.8483542483115151,0.8589177019928291,0.8512789974874504,0.846288865217719,0.008828104612150792,2
3673,0.018938398361206053,0.0038881154296338534,0.0024040699005126952,0.0005808190672388494,100,1000,elasticnet,saga,0.1,0.95,0.05,"{'logistic__C': 100, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8376059035367097,0.8345484918503716,0.8486200283498706,0.8583652964229133,0.8507932030568484,0.8459865846433428,0.00876740433882086,3
3523,0.01557621955871582,0.0016320320597362277,0.0017052650451660155,0.00039825702649010493,10,100,elasticnet,saga,0.1,0.95,0.95,"{'logistic__C': 10, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8378713128916089,0.835126147505152,0.8475100058367382,0.8579483865588261,0.8513991401960938,0.8459709985976838,0.00846766544712708,4
4078,0.017815494537353517,0.0017027718691146065,0.0025125980377197266,0.0004498769087002121,1000,1000,elasticnet,saga,0.1,0.95,0.05,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8379337621515852,0.8349960448802015,0.8474578921037272,0.8586571333277746,0.8507670850767084,0.8459623835079993,0.00861623722857182,5
4228,0.01845402717590332,0.002446028486612379,0.002817726135253906,0.0005273688463041461,1000,10000,elasticnet,saga,0.1,0.95,0.5,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.5, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8372624326068403,0.8343038989154644,0.8471452097056618,0.8593710914700242,0.8517021087657164,0.8459569482927414,0.009227634951903426,6
4183,0.019760847091674805,0.003802440386315494,0.0031258106231689454,0.0003752762540841648,1000,10000,elasticnet,saga,0.1,0.95,0.2,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.2, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8383344782364329,0.8342050209205022,0.8476402901692655,0.8587300925539899,0.8507618614806804,0.8459343486721742,0.008778169945301941,7
1482,0.023208045959472658,0.003335569415169379,0.0031211376190185547,0.0007382206328646315,1000,100,l2,sag,0.1,0.9,,"{'logistic__C': 1000, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8382720289764567,0.8337626719956701,0.8483281914450095,0.8579379638122238,0.8513207862556741,0.8459243284970068,0.008782839218721984,8
3011,0.016485023498535156,0.0037191881079447473,0.003752994537353516,0.002391282531642146,1,10000,elasticnet,saga,0.1,0.85,0.5,"{'logistic__C': 1, 'logistic__l1_ratio': 0.5, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8383084577114427,0.8341529798705218,0.8477393062619861,0.8566820228466605,0.8526423560507526,0.8459050245482729,0.008493742394460789,9
2923,0.018995046615600586,0.006253220339743554,0.0024169445037841796,0.003907082244805492,1,10000,elasticnet,saga,0.1,0.95,0.1,"{'logistic__C': 1, 'logistic__l1_ratio': 0.1, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8377308020566623,0.8346629821603281,0.847963395313933,0.8578493704661053,0.8512998918715622,0.8459012883737183,0.008593139631698747,10
