,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
124,29.612642192840575,0.39173262140622234,0.011825132369995116,0.0010755458692131889,mle,0.01,6,500,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8474398401833145,0.8586590230865727,0.9898309607847721,0.9910328183071925,0.9904611081243232,0.935484750097235,0.06740266601899664,1
122,28.388306760787962,0.2998030263352364,0.011718225479125977,0.0017214788623699038,mle,0.01,6,500,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8468805984955913,0.858772975542102,0.9898299868321608,0.9911107345161014,0.990433837451205,0.935405626567432,0.06753135247151075,2
126,31.349966764450073,0.8729725567680242,0.011221599578857423,0.0013308543485781156,mle,0.01,6,500,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8477403718033258,0.8578457726560857,0.9897958984907631,0.9909519802404494,0.9904513685982095,0.9353570783577666,0.06748992346853334,3
121,31.184978580474855,0.17570174395668134,0.011622333526611328,0.0006662915517519045,mle,0.01,6,500,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8470770625319741,0.8589249121494746,0.9893508021473708,0.9908049133961339,0.9903948793467505,0.9353105139143407,0.0673114708516613,4
120,31.50169825553894,0.21591385110473227,0.011918210983276367,0.001020291316570453,mle,0.01,6,500,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8461326735254013,0.8587496006794293,0.9897442790023608,0.9911623540045036,0.9904727955556595,0.935252340553471,0.06773416253278734,5
125,29.293152856826783,0.4102790676799912,0.013525247573852539,0.0023016900237787584,mle,0.01,6,500,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8465207386269693,0.8580464068940262,0.989666362793452,0.9908516631214792,0.9901221726155692,0.9350414688102993,0.06767082088328298,6
123,28.721077823638915,0.14283712866826517,0.011621809005737305,0.0014966574988669408,mle,0.01,6,500,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8464643281610771,0.858180812354394,0.9894657285555114,0.9906958307036612,0.9899838713447559,0.9349581142238799,0.067574420100093,7
127,31.53299512863159,0.39520892953455544,0.011618995666503906,0.0010220932420797319,mle,0.01,6,500,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8463194116193888,0.8576957839539359,0.9894102132566638,0.9907873822491293,0.9900734749850011,0.9348572532128238,0.06774345379823994,8
162,3.1125845432281496,0.023426991862669458,0.008416509628295899,0.0008033162062028174,mle,0.1,6,50,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8433267391443894,0.8590369166997811,0.9888949923252535,0.9904727955556595,0.9897559664336971,0.9342974820317561,0.06804708109461505,9
143,3.8547112464904787,0.10407192318228459,0.009012889862060548,0.0010045797134200702,mle,0.1,4,100,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8434901349766286,0.8561627825436524,0.9892709380332391,0.9907825124860724,0.9904085146833096,0.9340229765445803,0.06886467351606325,10
141,3.4881333827972414,0.03179378031006545,0.009218454360961914,0.0006056950120488451,mle,0.1,4,100,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8437780228715261,0.8566108007448788,0.9887557171018287,0.9904094886359208,0.9902468385498235,0.9339601735807956,0.06851716748078962,11
165,3.2460922241210937,0.06063379934867567,0.009319829940795898,0.0011683978786437399,mle,0.1,6,50,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8446912888624343,0.8561257723444208,0.9892602245545141,0.9899877671552012,0.9894228746406116,0.9338975855114363,0.06826478784356999,12
166,3.1886714458465577,0.08906801565902124,0.009215974807739257,0.0011678581219320507,mle,0.1,6,50,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8445843034960872,0.8559923408366643,0.9890381633591236,0.9905059099444458,0.9892173706396141,0.933867617655187,0.06833937276408796,13
151,7.590482568740844,0.03460962852695862,0.010118436813354493,0.0008002283746189095,mle,0.1,4,200,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8404254905279047,0.854645364375151,0.9899595225294717,0.992057416454345,0.9908506891688679,0.9335876966111479,0.07040828029959038,14
137,3.950778341293335,0.07139294392091607,0.00910043716430664,0.0005606399985681216,mle,0.1,4,100,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8423483093394335,0.855983575263162,0.9888092844954536,0.9907396585711725,0.9898592054105017,0.9335480066159448,0.06903516609718868,15
163,3.0806319236755373,0.03899978977308776,0.010025691986083985,0.0007750206913543589,mle,0.1,6,50,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8442545940488904,0.8548128842243052,0.9891599074355438,0.9899838713447557,0.9895007908495204,0.9335424095806031,0.06867450367233718,16
171,5.731575345993042,0.05774099561568546,0.009618568420410156,0.0012824780115578205,mle,0.1,6,100,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8426751010039119,0.8530734048604132,0.9908876993680995,0.9912266348768534,0.9898436221687198,0.9335412924555996,0.07002557694174685,17
145,7.794838905334473,0.06471304707220103,0.00921487808227539,0.0007454949204474812,mle,0.1,4,200,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8418610396254345,0.8529448431157134,0.989763758054588,0.9920457290230087,0.9904240979250915,0.9334078935487671,0.07031408923258214,18
161,3.359963130950928,0.04889118618674125,0.00902099609375,0.0007742692952367972,mle,0.1,6,50,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8434191355971437,0.8541213778702383,0.9892835994171867,0.990345207763571,0.9896673367460633,0.9333673314788407,0.06915691882215276,19
92,19.7880078792572,0.1158099430507189,0.009821796417236328,0.0012508577217900721,mle,0.01,4,500,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.84405326704131,0.8582752857576962,0.9871467473878591,0.9885550828638882,0.9885852753948403,0.9333231316891186,0.06723502432154578,20
170,5.8214600563049315,0.04973740800724375,0.010221290588378906,0.0006032807856370596,mle,0.1,6,100,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8397612086623133,0.8541681275955837,0.9902604738863825,0.9917457516187093,0.9904133844463663,0.9332697892418711,0.07061684544391676,21
90,18.60141634941101,0.12028602585695046,0.010719919204711914,0.0007497595968010847,mle,0.01,4,500,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8442750185279202,0.857593518929743,0.9871779138714226,0.9884927498967611,0.9884703489866997,0.9332019100425093,0.06730483956680028,22
139,3.5303690910339354,0.07617617546228894,0.009416294097900391,0.0006629733924867587,mle,0.1,4,100,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8414613033929923,0.8557079466741465,0.9884615834131976,0.9905526596697912,0.9897939505855404,0.9331954887471335,0.06923445976890959,23
88,19.404122734069823,0.2132937874407806,0.009616756439208984,0.0007985378864914123,mle,0.01,4,500,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8442117999023515,0.8571737453542462,0.9871545390087499,0.9887167589973742,0.9886992278503697,0.9331912142226184,0.0674866770071504,24
136,4.007769632339477,0.03145342386124547,0.009917449951171876,0.0010213515042822973,mle,0.1,4,100,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8425661704490857,0.8543035070085632,0.9887450036231037,0.9911944944406784,0.9890975744684166,0.9331813499979695,0.06929977427188608,25
140,3.4920738697052003,0.05125600704111404,0.00991373062133789,0.0018580575586712447,mle,0.1,4,100,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8405373388654493,0.8559796794527166,0.9892290580709505,0.9910035997288515,0.9891326367624256,0.9331764625760787,0.06951016508258172,26
173,5.8506121158599855,0.06859733259547852,0.01031508445739746,0.0016333696253911928,mle,0.1,6,100,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8426332794516125,0.8506394972846201,0.9905127276127252,0.9918567822164044,0.9901416516677964,0.9331567876466316,0.07069126775496157,27
94,18.87228078842163,0.7055492369111583,0.01001753807067871,0.00044553773309977357,mle,0.01,4,500,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8440085277062922,0.8577863615467927,0.987038638647998,0.988382693251677,0.9884800885128134,0.9331392619331147,0.06729328938470663,28
175,5.795860338211059,0.04057897651254533,0.008534765243530274,0.0010443725996039464,mle,0.1,6,100,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8422714743945114,0.8510690103862306,0.99002964711749,0.9918090585384477,0.9902974840856142,0.9330953349044588,0.07062321809855815,29
93,19.740647888183595,0.15328575367981478,0.010823678970336915,0.0014759543215258103,mle,0.01,4,500,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.844334346776531,0.8572185471743686,0.9871185027621296,0.9882473138386978,0.9883515267681136,0.9330540474639679,0.06730420728518158,30
91,19.379434490203856,0.36315893732318155,0.013820981979370118,0.007409221095656372,mle,0.01,4,500,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.843762461363694,0.8571980941695301,0.9872957621373974,0.9882979593744887,0.988433338787468,0.9329975231665155,0.06751002347046511,31
167,3.008781909942627,0.0408244142054481,0.009016799926757812,0.0006335055485679824,mle,0.1,6,50,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8401191233424563,0.8554138129855153,0.9890625121744077,0.9906218103051978,0.9895894205371544,0.9329613358689463,0.0697310648139407,32
138,3.71129732131958,0.03410513676778066,0.009415388107299805,0.0013625385544364947,mle,0.1,4,100,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8414078107098186,0.8525591578816141,0.9894822857499046,0.9912665669339192,0.9900393866436035,0.9329510415837721,0.0702831121814169,33
