,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,12.712963676452636,0.133210102161918,0.008207225799560547,0.0009298379555564173,mle,0.01,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8390734611461521,0.8400856595682674,0.8441330359376303,0.8464547027432668,0.8512241497291565,0.8441942018248947,0.004418956387605157,1
20,4.6710569858551025,0.033664029225077975,0.010002994537353515,5.387626880833806e-06,mle,0.01,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8376215158517036,0.8381783550864923,0.8410322688234804,0.8420953889769032,0.8510909480304432,0.8420036953538045,0.004844934752558887,2
32,1.2825654029846192,0.053591240811289007,0.007800912857055664,0.0009774475375944002,mle,0.1,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8359249776223485,0.8350402797726847,0.8407847285916784,0.8469393604602685,0.8498477321757845,0.841707415724553,0.00587156949027199,3
23,12.564593172073364,0.09864839229603885,0.00839991569519043,0.0007995606037496589,mle,0.01,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8360967130872833,0.838592081433835,0.8398935837571917,0.8420302468106395,0.8478262005129571,0.8408877651203813,0.0039663557547190515,4
33,1.3174469470977783,0.059812015707987,0.008804988861083985,0.0006760005444759379,mle,0.1,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8352848727075918,0.8368174816295094,0.8414648128074711,0.8419520762111232,0.8479332842315306,0.8406905055174452,0.004446799658343691,5
28,8.960703039169312,0.1131457815528135,0.008302783966064453,0.0010794504379482575,mle,0.01,6,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8351599741876391,0.8365911030620954,0.840930647044109,0.840925435670808,0.8468911768239491,0.84009966735772,0.004103842428920648,6
30,21.73544850349426,0.1515698259248109,0.009702396392822266,0.0008741888978807406,mle,0.01,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8352302296051124,0.83650003122463,0.8392708246477112,0.8426712457266738,0.8456479609692904,0.8398640584346836,0.0038593990216067137,7
21,4.857516622543335,0.15004599498143162,0.010000276565551757,1.6198432685339956e-06,mle,0.01,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8354722204875206,0.8368226857345074,0.8402166889018594,0.8380930542816641,0.8482832651654051,0.8397775829141914,0.004530886101157593,8
40,2.5413881301879884,0.021132144098829905,0.00810246467590332,0.0002052547970718405,mle,0.1,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8326698099460855,0.8344287974354171,0.8382024931209874,0.8423637747019094,0.8478758246752229,0.8391081399759244,0.0055070861417947075,9
18,2.372731351852417,0.023158038423204092,0.008004999160766602,0.00400250827873153,mle,0.01,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8330939445034243,0.8360654884572951,0.8386298257316768,0.8366416868173101,0.849952204096344,0.83887662992121,0.005814915188818287,10
41,2.428869342803955,0.03898639201974421,0.008401298522949218,0.0004888918995856331,mle,0.1,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8347176252628072,0.8368461042069983,0.8364957683648796,0.8349636246143585,0.8447442788564503,0.8375534802610989,0.003689881993194787,11
