,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,4.57649507522583,0.019776551982112717,0.007199287414550781,0.00039911275838580345,mle,0.01,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.7969543147208121,0.8050761421319796,0.7896341463414634,0.8008130081300813,0.7997967479674797,0.7984548718583632,0.005123661358287228,1
17,1.1629243850708009,0.037325695714028044,0.00620112419128418,0.0003991917562637606,mle,0.01,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8040609137055837,0.7969543147208121,0.7865853658536586,0.7967479674796748,0.8048780487804879,0.7978453221080434,0.006586008192401351,2
6,12.362944793701171,0.20958181249874086,0.007503223419189453,0.0006367924752660179,mle,0.001,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.798984771573604,0.8040609137055837,0.7845528455284553,0.7977642276422764,0.8038617886178862,0.7978449094135611,0.007110925429727598,3
29,8.582189416885376,0.09268725422949033,0.006401491165161133,0.0004883681206987383,mle,0.01,6,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.798984771573604,0.8081218274111676,0.7835365853658537,0.7957317073170732,0.8028455284552846,0.7978440840245966,0.008259712789465998,4
30,21.141309356689455,0.26699074011264967,0.008502388000488281,0.0006285326150743548,mle,0.01,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.7969543147208121,0.8060913705583757,0.7896341463414634,0.7997967479674797,0.7957317073170732,0.7976416573810409,0.005371827444052106,5
28,8.460156393051147,0.08379882487956922,0.006604576110839843,0.0007349444357452791,mle,0.01,6,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8,0.8030456852791878,0.790650406504065,0.7947154471544715,0.7987804878048781,0.7974384053485204,0.004319628927069627,6
16,1.179129695892334,0.0183477999759187,0.0069999217987060545,0.0008942557764274189,mle,0.01,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7949238578680203,0.8010152284263959,0.7886178861788617,0.7967479674796748,0.8048780487804879,0.7972365977466881,0.00552339638427651,7
22,12.076313781738282,0.15521148498906484,0.006802034378051758,0.0007496553250051764,mle,0.01,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.7949238578680203,0.8020304568527918,0.7916666666666666,0.7967479674796748,0.8008130081300813,0.797236391399447,0.003804824665267275,8
21,4.555097770690918,0.07289951153228222,0.007199811935424805,0.0007485705761574196,mle,0.01,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.7939086294416243,0.8010152284263959,0.782520325203252,0.8058943089430894,0.801829268292683,0.7970335520614089,0.00821905771458772,9
7,11.876522016525268,0.47648732861565407,0.0065040111541748045,0.0008949102824177816,mle,0.001,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8030456852791878,0.7959390862944162,0.7865853658536586,0.7967479674796748,0.8028455284552846,0.7970327266724444,0.006006143869825657,10
