,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,12.193401193618774,0.15272222103864397,0.008600425720214844,0.0004895511194711668,mle,0.01,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.837678761006682,0.8383683049189201,0.8460013132660719,0.8518667139164511,0.8525640021103327,0.8452958190436914,0.006364132175009523,1
20,4.680736684799195,0.05620394169905293,0.008201789855957032,0.0007457955929045957,mle,0.01,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.83836830491892,0.8377255979516643,0.8423246894021513,0.8499098432418911,0.8537602056007397,0.8444177282230733,0.006375047487201343,2
23,12.062667894363404,0.06382408676234164,0.0078010082244873045,0.000748574691874669,mle,0.01,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8372390141343492,0.8361435500322655,0.8413631910280998,0.8502876678062202,0.8545933691672023,0.8439253584336275,0.007295394128656752,3
21,4.637939071655273,0.03275549453248534,0.00770258903503418,0.000746581534156258,mle,0.01,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8373535044443057,0.8343403276504507,0.8414205161344117,0.849818644209122,0.8547422416539995,0.8435350468184579,0.00764604968549749,4
32,1.1716341018676757,0.025726327827532192,0.0078013896942138675,0.0003976109610147748,mle,0.1,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8364479901746495,0.8375096275942464,0.8407117693654633,0.8496284290836321,0.8509107339674779,0.8430417100370938,0.006079738591866555,5
33,1.1721323490142823,0.010497873294096672,0.007903432846069336,0.0004903628034190746,mle,0.1,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8342960927579675,0.8353056891275839,0.8406049362127908,0.848435024597682,0.8534232836569351,0.8424130052705918,0.0074452437452734,6
30,21.24119100570679,0.33552406752337444,0.008502054214477538,0.0004472133254711364,mle,0.01,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8371011053519016,0.8341061429255396,0.8409540982239639,0.84756733094305,0.8491791118842034,0.8417815578657317,0.005825844063404445,7
28,8.480983209609985,0.09107619639434907,0.008902645111083985,0.0006620305959565785,mle,0.01,6,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8374810050167572,0.8319100106163742,0.8406362044525973,0.8467100600350205,0.8514983885206254,0.8416471337282749,0.006868342110131262,8
18,2.4225936412811278,0.050029682094426486,0.008200550079345703,0.0007481625552520333,mle,0.01,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8370334519869274,0.8316029684214907,0.8414413616276161,0.8445343116818144,0.8520860430737728,0.8413396273583242,0.006914441150215774,9
6,12.45524320602417,0.220998210630209,0.009201908111572265,0.0009783252833280723,mle,0.001,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.836965798621953,0.8311033743416807,0.8401697865421495,0.8424836362878346,0.8543478601538871,0.841014091189501,0.0076846963385593225,10
40,2.5028031349182127,0.03599735312831796,0.008799362182617187,0.0003993761396399254,mle,0.1,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8306141884718665,0.8350923208226648,0.8385021470858001,0.8472859167847911,0.8486619758774334,0.8400313098085113,0.0069646513807579,11
29,8.601705074310303,0.07905585124476273,0.00770263671875,0.0007466323684189709,mle,0.01,6,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8348034929952747,0.8308587814067737,0.8348776369548904,0.8445238889352122,0.8527651105574099,0.8395657821699121,0.00799093309453173,12
16,1.168733549118042,0.024381577892707153,0.007999849319458009,2.78041453115716e-07,mle,0.01,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.836497429172131,0.8271014175982015,0.8417410155924289,0.8410583256899858,0.8502055485037009,0.8393207473112897,0.007545050273194716,13
26,4.790142965316773,0.14063238400958064,0.008602571487426759,0.0004891731639643512,mle,0.01,6,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8361279377172715,0.8267319261433418,0.8394245601600935,0.841464812807471,0.8495917759704135,0.8386682025597182,0.0074383493049768054,14
31,22.550859355926512,0.6210543000107397,0.0089996337890625,0.0006320328118946394,mle,0.01,6,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8355919149024751,0.8326646058410875,0.8319749020261819,0.8435571791878596,0.8480246971620203,0.8383626598239248,0.006344860806018346,15
14,23.089095973968504,0.3868228778294451,0.008801126480102539,0.0004003862686581702,mle,0.001,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8348451258352588,0.8261828930660506,0.8376735387309264,0.8414205161344118,0.8516080840372129,0.838346031560772,0.008318473619941563,16
4,5.261600112915039,0.16044640321209397,0.008406543731689453,0.0003757967106059666,mle,0.001,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8352588521826017,0.8266902933033577,0.8403235220545319,0.8375536771450012,0.8517099441597585,0.8383072577690502,0.008105699820869033,17
19,2.2957478046417235,0.02729431220502425,0.007503986358642578,0.0008915176335614932,mle,0.01,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.8369033493619767,0.8257249318262246,0.8371159217877094,0.8418999624781123,0.8498242259936585,0.8382936782895364,0.007839034743757984,18
