,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,12.368476104736327,0.09654392934280075,0.010001373291015626,3.7467386780859357e-06,mle,0.01,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8456410416536563,0.8419799537875475,0.8452170015842575,0.8549466355373968,0.8579860947873735,0.8491541454700464,0.006178483578088785,1
20,4.658876180648804,0.02470262871653811,0.010003137588500976,6.435358672617269e-06,mle,0.01,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.843954911634297,0.8420944440975041,0.8450163637121654,0.8527630701242392,0.8590099196088571,0.8485677418354125,0.006362922736376124,2
23,12.263372135162353,0.10147265410661602,0.01000227928161621,6.150275168375484e-06,mle,0.01,4,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8450269572638897,0.8427215387497659,0.8443857875427333,0.8525806720587008,0.855489215886,0.8480408343002178,0.005036392396613465,3
18,2.325760078430176,0.020047359028590363,0.006002044677734375,0.004900650290302413,mle,0.01,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8418342388476031,0.8424275068173775,0.8434607687817893,0.8511214875343952,0.8589132830823395,0.847551457012701,0.006595625655183061,4
32,1.1830027103424072,0.010377463430789668,0.007003259658813476,0.0036748072107888287,mle,0.1,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.8445013426590896,0.8392269822435937,0.8445238889352122,0.851593116818144,0.8549198439189507,0.8469530349149981,0.005596496060276798,5
21,4.636502933502197,0.06762076427196212,0.008001708984375,0.004000856324995809,mle,0.01,4,200,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 1}",0.8422609754574408,0.8421308728324902,0.8422308846827317,0.8511866297006587,0.8567742205088827,0.8469167166364409,0.006032243166704019,6
33,1.1885178089141846,0.011668138535990429,0.008504819869995118,0.004363361268507715,mle,0.1,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8423364349799121,0.8406294885405609,0.8425852580672057,0.8524946843992328,0.8551966945084334,0.846648512099069,0.005976317261890557,7
6,12.406679487228393,0.15246028088211014,0.010004377365112305,5.402377715403957e-06,mle,0.001,4,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8398983117883387,0.8417978101126169,0.8403886642207955,0.8486017885433168,0.8583752526914579,0.8458123654713052,0.007015928125753692,8
28,8.603447723388673,0.026344741926544023,0.00600275993347168,0.004901237195770422,mle,0.01,6,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8429427132121817,0.8383084577114428,0.840448595013758,0.8511605728341533,0.8554970512800422,0.8456714780103155,0.0065667462887601235,9
16,1.1327453136444092,0.026275587382312636,0.005999326705932617,0.004898429781170139,mle,0.01,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.839299839713566,0.8403640791856616,0.8396382264654382,0.8490499666472109,0.8578163279164642,0.8452336879856682,0.007254235249237722,10
30,21.537671518325805,0.09856970131291698,0.012001657485961914,0.0040041685313762015,mle,0.01,6,500,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 0.9}",0.8423858739773935,0.8377568225816523,0.8414700241807722,0.8506368298173934,0.8531803864416341,0.8450859873997691,0.0058380408840670904,11
19,2.3233902931213377,0.03895225576415989,0.004801464080810547,0.004489087555767384,mle,0.01,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.8393805033410353,0.8417978101126169,0.8386246143583759,0.8485731259901609,0.8569361519857499,0.8450624411575877,0.006894893239667762,12
35,2.2854858875274657,0.04136416098254723,0.0032043933868408205,0.004123969829326157,mle,0.1,4,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.8442853723016717,0.8367758487895252,0.8445681856082714,0.8506211956974902,0.8470034841385506,0.8446508173071019,0.0045461184882641305,13
4,5.364418935775757,0.04081302763683386,0.010001087188720703,3.522145330928686e-06,mle,0.001,4,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.8380144257790546,0.8388600928412333,0.8398831610105895,0.8459101142333028,0.8573618750620301,0.8440059337852419,0.007230244437478571,14
26,4.859253454208374,0.04152249246574445,0.003999853134155273,0.004898799617597838,mle,0.01,6,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.8385868773288371,0.8393805033410353,0.8374468439923289,0.8488858083882265,0.8544941208426705,0.8437588307786197,0.006742290159826245,15
