,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,TotalCharges,MonthlyCharges
0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.6901408450704226,0.6393061847092539,0.9091816367265471
1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0.15492957746478872,0.12735740038827773,0.8018962075848304
2,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.7183098591549296,0.6474761948784321,0.877744510978044
3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.11267605633802817,0.01684270130350374,0.013473053892215536
4,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.8591549295774649,0.7649417583433484,0.8243512974051896
5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.0,0.005853055375797356,0.5084830339321358
6,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0.8309859154929577,0.52291531848017,0.5828343313373254
7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.8028169014084507,0.13486872515484885,0.021956087824351295
8,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0.971830985915493,0.7904455948969216,0.7609780439121756
9,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.11267605633802817,0.05907368031801792,0.40868263473053895
10,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.1267605633802817,0.023886012757696216,0.07534930139720558
11,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.7605633802816901,0.6084288619765185,0.780938123752495
12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.49295774647887325,0.08078718683553665,0.01696606786427146
13,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0.971830985915493,0.6901405195525562,0.6601796407185629
14,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0,6.355736340944761e-05,0.008483033932135703
15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.056338028169014086,0.034442313025792724,0.5104790419161678
16,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0.0,0.0028254137006563733,0.24700598802395207
17,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0.8873239436619719,0.539636682998983,0.5439121756487026
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.07042253521126761,0.011295876860497364,0.02045908183632736
19,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0.7746478873239437,0.6346260515854673,0.8602794411177646
20,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.4225352112676057,0.36606730146990846,0.8123752495009979
21,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.3098591549295775,0.21935957289451788,0.6232534930139721
22,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.6901408450704226,0.39282495146528607,0.5084830339321358
23,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0.014084507042253521,0.017177821946935377,0.7549900199600799
24,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.09859154929577466,0.07096468521771286,0.563373253493014
25,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.00643084958861052,0.5583832335329342
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.9154929577464789,0.14270939262272347,0.01147704590818363
27,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.14084507042253522,0.1052105482111491,0.6032934131736527
28,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1.0,0.9086854026070075,0.9206586826347305
29,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.943661971830986,0.9056519829897384,0.9441117764471059
30,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.9014084507042254,0.14719307571415363,0.013473053892215536
31,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0.18309859154929578,0.12752496070999353,0.5943113772455089
32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0,0.0001560044374595542,0.016467065868263464
33,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0.08450704225352114,0.0507592215956365,0.4820359281437125
34,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.35211267605633806,0.1604014514190626,0.3612774451097804
35,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0.15492957746478872,0.06162175279652399,0.312375249500998
36,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0.9859154929577465,0.7333941943237496,0.6926147704590819
37,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0.5211267605633804,0.4587281593787556,0.849301397205589
38,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.14084507042253522,0.12837431820282888,0.8203592814371259
39,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0.46478873239436624,0.3259452713321623,0.6606786427145708
40,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0.02816901408450704,0.03517611167606545,0.8662674650698603
41,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0.0037036609041323832,0.32285429141716565
42,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0.1267605633802817,0.08960432652306553,0.534930139720559
43,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.9859154929577465,0.21009175372099473,0.06187624750499002
44,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0.5633802816901409,0.3549736525838957,0.5598802395209581
45,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.25352112676056343,0.06323957659240084,0.06786427145708585
46,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.6338028169014085,0.2936639086622908,0.38273453093812376
47,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0,0.003518766756032171,0.30688622754491013
48,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.056338028169014086,0.05025654063048904,0.658183632734531
49,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0.647887323943662,0.5464026532310252,0.8098802395209581
50,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.36619718309859156,0.15222566330775633,0.312375249500998
51,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.8309859154929577,0.2779941296107978,0.21007984031936128
52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.02816901408450704,0.006713968752888971,0.019461077844311364
53,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.26760563380281693,0.044045252842747525,0.014970059880239528
54,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.19718309859154928,0.031108440417860775,0.01447105788423153
55,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.19718309859154928,0.14460455764075067,0.6751497005988025
56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.22535211267605634,0.04869071831376536,0.07085828343313372
57,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0.3943661971830986,0.29915295368401584,0.7549900199600799
58,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1.0,1.0,1.0
59,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.11267605633802817,0.09161505038365535,0.7534930139720559
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.18309859154929578,0.03535522788203753,0.007984031936127761
61,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0.3802816901408451,0.2986098271239715,0.7365269461077844
62,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0.943661971830986,0.7261717666635851,0.7210578842315369
63,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.676056338028169,0.24119441619672738,0.2519960079840319
64,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.4225352112676057,0.17348271239715263,0.312375249500998
65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1.0,0.17360982712397152,0.022455089820359292
66,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.8450704225352113,0.4862542756771747,0.5124750499001995
67,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.971830985915493,0.7580891189793844,0.751996007984032
68,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.0,0.008666913192197466,0.7514970059880239
69,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0.28169014084507044,0.23183992789128222,0.7669660678642716
70,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0.11267605633802817,0.09139548858278634,0.7210578842315369
71,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.7042253521126761,0.11670287510400294,0.013972055888223534
72,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.49295774647887325,0.4098641028011463,0.7609780439121756
73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.09859154929577466,0.014184847924563185,0.01447105788423153
74,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0.8873239436619719,0.814736063603587,0.9176646706586826
75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.6056338028169015,0.3586426458352593,0.5518962075848304
76,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.07042253521126761,0.05806254044559488,0.7140718562874251
77,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.16901408450704225,0.026942544143477857,0.012974051896207595
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.014084507042253521,0.012751918276786537,0.5204590818363273
79,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0.9295774647887325,0.6799828972913007,0.7010978043912175
80,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.18309859154929578,0.04632176204123139,0.12524950099800403
