,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,TotalCharges,MonthlyCharges
0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.9411295007770559,1.6138935413805304,1.4504523021593914
1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,-0.6489253594531196,-0.41773321046713835,1.075131864148837
2,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1.0248165986839073,1.6463155564939862,1.3404746854400194
3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.7744560063133965,-0.856301727493349,-1.6830369361147732
4,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1.4432520882181639,2.1124680085848975,1.1536873046626739
5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,-1.109204397940802,-0.8999132358001327,0.04867410810136674
6,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.3595649903113125,1.152005937105109,0.3087799000249604
7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.2758778924044611,-0.38792513433737025,-1.6533604363651013
8,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1.778000479845569,2.2136778916901254,0.931986394768067
9,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,-0.7744560063133965,-0.6887115517760607,-0.3004611830712421
10,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.7326124573599708,-0.8283509237993587,-1.4665730555877556
11,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1.1503472455441843,1.4913594191978532,1.0018134530025888
12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.3553198154290965,-0.6025432824717003,-1.6708172009237319
13,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1.778000479845569,1.8156254289110687,0.5793597506837322
14,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1.109204397940802,-0.9228883837093846,-1.7004937006734036
15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,-0.9418302021270992,-0.7864591121923693,0.05565681392481902
16,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,-1.109204397940802,-0.9119281834093623,-0.8660603547708685
17,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1.526939186125015,1.2183633004278387,0.1726171364676428
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.8999866531736735,-0.8783138452507162,-1.6585974657326905
19,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1.19219079449761,1.595320817022752,1.2793760094848128
20,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.14610207066196818,0.5295674489368908,1.1117910697219608
