,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,TotalCharges,MonthlyCharges
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.9441286839084139,-0.8948718483317805,-1.701718876918856
1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0.17885484329477372,0.4654290082272024,0.7964857391780017
2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.40343291155132355,-0.2688500775959424,0.23627166969587518
3,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.8425341428550515,2.8455387767367375,1.5877881123215056
4,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.6345742304100168,0.6543005173123713,-0.6128027793629728
5,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.32024894657330966,-0.7418854629389395,-1.682461518280408
6,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,-0.6945767889743723,-0.5507219362760026,0.0857141385225538
7,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.22044682578378066,0.6028343044297615,1.1186088291302245
8,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1.3018383704979613,1.9140072690693124,1.363702484528655
9,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.13726286080576677,0.3724286586323111,0.7439656701640524
10,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,-0.9857206663974208,-0.8299776536804285,-0.15062617204021833
11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1.6345742304100168,-0.3809505736722341,-1.701718876918856
12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-1.1104966138644417,-0.9258719648634108,-1.7139735596887775
13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.26203880827278764,-0.6402726836578896,-1.6544508148063017
14,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1.8425341428550515,1.1391432659347798,-0.09810610302626896
15,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1.6345742304100168,0.574820756257041,-0.6128027793629728
16,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1.2186544055199475,1.6573476037447006,1.0328260497407737
17,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1.0938784580529266,0.8580817164993848,0.0664567798841058
18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1.1104966138644417,-0.9252468691603831,-1.666705497576223
19,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-1.0273126488864277,-0.8910055156500908,-1.3393304007226057
20,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,-0.8193527364413931,-0.6734027559183549,0.01743804880441953
21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.9441286839084139,-0.8948718483317805,-1.701718876918856
22,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1.5513902654320029,2.1676340626496047,1.2621636844350193
23,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.761142598140871,0.8107828083036259,0.4183412422775664
24,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.23706498159529577,-0.3544650372180255,-0.4534919033539929
25,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,-0.36184092906231663,-0.1603612455815883,0.7264589804927358
26,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1.7177581953880308,0.8120793030950908,-0.4587439102553878
27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,-0.02910506915026102,-0.1043804526215566,0.03494473847573598
28,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.38681475573980845,-0.6181165137394651,-1.7052202148531193
29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1.1104966138644417,-0.9256635996290683,-1.6982175389845928
30,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,-0.8193527364413931,-0.7815443125421382,-1.0347140004416993
31,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0.7195506156518641,0.7014605153519017,0.4533546216201993
32,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1.3018383704979613,0.4570712471607958,-0.5725373931189447
33,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.1104966138644417,-0.9144350286672753,-0.8491430899257449
34,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1.6761662128990238,0.822266047885171,-0.4885052826966258
35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1.1104966138644417,-0.9255015377801351,-1.6859628562146713
36,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1.8425341428550515,2.1388565086176277,0.8087404219479235
37,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0.9275105280968988,1.451529055599671,1.2253996361252548
38,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1.8009421603660447,2.1144546245068447,0.8385017943891613
39,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.2602463880089545,0.3981501892272637,-0.621556124198631
40,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.468206300453989,-0.3439541687300792,-1.6929655320831978
41,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0.761142598140871,-0.0050133875328651975,-0.8438910830243498
42,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0.761142598140871,0.5726213454500918,0.03669540744286753
43,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,-0.9857206663974208,-0.7498496452293658,1.1483702015714623
44,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,-0.9441286839084139,-0.7335277018725328,0.7807297184738168
45,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.3018383704979613,-0.33925437511101947,-1.6614534906748282
46,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1.8425341428550515,1.8707830587895855,0.6424268700704172
47,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1.0106944930749127,1.1180520738807727,0.6214188424648371
48,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1.7593501778770377,2.1532800131726733,1.0328260497407737
49,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0.012486913338745928,0.2812804444537981,0.8034884150465283
50,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0.8859185456078918,1.4611833114575425,1.3514478017587335
51,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1.0273126488864277,-0.8154383906618594,0.2817890628412979
52,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,-0.07069705163926797,-0.10123182241371365,0.05070075917992089
53,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1.426614317964982,0.2776456286991558,-0.852644427860008
54,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.012486913338745928,-0.6740046999286778,-1.6649548286090916
55,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.8193527364413931,-0.7637175091594978,-0.8263843933530333
