,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,TotalCharges,MonthlyCharges
2790,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.6901408450704226,0.6393061847092539,0.9091816367265471
898,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0.15492957746478872,0.12735740038827773,0.8018962075848304
3965,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.7183098591549296,0.6474761948784321,0.877744510978044
5201,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.11267605633802817,0.01684270130350374,0.013473053892215536
1274,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.8591549295774649,0.7649417583433484,0.8243512974051896
2517,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.0,0.005853055375797356,0.5084830339321358
6259,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0.8309859154929577,0.52291531848017,0.5828343313373254
1653,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.8028169014084507,0.13486872515484885,0.021956087824351295
3432,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0.971830985915493,0.7904455948969216,0.7609780439121756
4391,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.11267605633802817,0.05907368031801792,0.40868263473053895
993,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.1267605633802817,0.023886012757696216,0.07534930139720558
4502,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.7605633802816901,0.6084288619765185,0.780938123752495
4187,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.49295774647887325,0.08078718683553665,0.01696606786427146
3992,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0.971830985915493,0.6901405195525562,0.6601796407185629
3376,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0,6.355736340944761e-05,0.008483033932135703
36,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.056338028169014086,0.034442313025792724,0.5104790419161678
1854,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0.0,0.0028254137006563733,0.24700598802395207
1343,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0.8873239436619719,0.539636682998983,0.5439121756487026
6281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.07042253521126761,0.011295876860497364,0.02045908183632736
2337,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0.7746478873239437,0.6346260515854673,0.8602794411177646
2444,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.4225352112676057,0.36606730146990846,0.8123752495009979
7009,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.3098591549295775,0.21935957289451788,0.6232534930139721
614,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.6901408450704226,0.39282495146528607,0.5084830339321358
507,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0.014084507042253521,0.017177821946935377,0.7549900199600799
1291,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.09859154929577466,0.07096468521771286,0.563373253493014
2275,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.00643084958861052,0.5583832335329342
