,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,TotalCharges,MonthlyCharges
2790,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.7237001208582009,1.4417214324026706,1.4832357974216979
898,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,-0.8291935383494449,-0.5085656906648908,1.1269205579060628
3965,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.8054313660796559,1.4728453770554804,1.3788271458426977
5201,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.9517904061816274,-0.9295753719762678,-1.4915821324879062
1274,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1.2140875921869312,1.920334623725648,1.2014981661767772
2517,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,-1.2787153870674475,-0.9714408194512634,0.15243980983539582
6259,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.132356346965476,0.9983262831196478,0.39937455722064996
1653,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.0506251017440211,-0.479951031507428,-1.4634083693634141
3432,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1.5410125730727513,2.0174923972033714,0.9910235828349833
4391,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,-0.9517904061816274,-0.7686949536825023,-0.1790162269233344
993,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.9109247835708999,-0.9027436261970777,-1.2860793896974934
4502,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.9280282339118385,1.3240931719892237,1.0573147901867292
4187,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.15158140430801564,-0.6859765774411599,-1.4799811712013506
3992,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1.5410125730727513,1.635376641069869,0.6562529857086659
3376,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1.2787153870674475,-0.9934961182787846,-1.5081549343258427
36,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,-1.1152528966245374,-0.8625290244427051,0.15906893057057053
1854,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,-1.2787153870674475,-0.9829747282193483,-0.7159750064724775
1343,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1.2958188374083863,1.0620269166594147,0.270106702884745
6281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1.07438727401381,-0.9507061972002404,-1.468380209914795
2337,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0.9688938565225661,1.4238922986199438,1.3208223394099199
2444,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,-0.052746708745621956,0.40080817735927565,1.1617234417657294
7009,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,-0.3796716896314421,-0.158080138538522,0.5336142521079356
614,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.7237001208582009,0.5027423977886678,0.15243980983539582
507,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,-1.2378497644567201,-0.9282987179523194,0.9711362206294596
1291,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.9926560287923549,-0.7233957471086112,0.33474063005269744
2275,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,-1.2787153870674475,-0.9692396918237662,0.3181678282147609
756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.3775500826298412,-0.4500817296022919,-1.4982112532230807
4739,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,-0.8700591609601723,-0.592934912626856,0.4673230447561895
